epoch,train_loss,train_mse,train_regret_bce,test_avg_mae,train_learned_routing_mae,train_all_environment_mae,train_net_gain,train_inv_route_ratio,train_inv_switch_precision,train_delta_hat_min,train_delta_hat_mean,train_delta_hat_max,train_delta_hat_std,train_inv_auroc,train_inv_auprc,train_delta_pearson,train_delta_spearman,val_learned_routing_mae,val_all_environment_mae,val_net_gain,val_inv_route_ratio,val_inv_switch_precision,val_delta_hat_min,val_delta_hat_mean,val_delta_hat_max,val_delta_hat_std,val_inv_auroc,val_inv_auprc,val_delta_pearson,val_delta_spearman,test_learned_routing_mae,test_all_environment_mae,test_net_gain,test_inv_route_ratio,test_inv_switch_precision,test_delta_hat_min,test_delta_hat_mean,test_delta_hat_max,test_delta_hat_std,test_inv_auroc,test_inv_auprc,test_delta_pearson,test_delta_spearman
11,0.3245673758643014,3.5375177451542448,0.3245673758643014,11.303719997406006,9.389888763427734,9.391813278198242,0.0019245147705078125,0.014285714365541935,0.6666666865348816,-0.36291050910949707,0.6858207583427429,1.7837696075439453,0.3530418872833252,0.6636860177871047,0.34952582505899715,0.4398595356082568,0.4045362596313832,12.364544868469238,12.362518310546875,-0.0020265579223632812,0.007299270015209913,0.5,-0.10689175873994827,0.6547591090202332,1.597631573677063,0.2936449944972992,0.5161199095022625,0.4255834613360849,0.11167451612010668,0.09169720790158747,11.258249282836914,11.257920265197754,-0.00032901763916015625,0.014652014710009098,0.5,-0.19492405652999878,0.6897966265678406,1.684389591217041,0.3411090075969696,0.5617803504380475,0.3981472210584781,0.17858667366488434,0.2033016243270675
12,0.33032462093092146,3.292924877575466,0.33032462093092146,11.303719997406006,9.389928817749023,9.391813278198242,0.00188446044921875,0.009523809887468815,0.75,-0.3834092319011688,0.7118245363235474,1.7209017276763916,0.3369310796260834,0.6653138260312935,0.3467602293536325,0.35692881979311264,0.3327586853335179,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.008638953790068626,0.6808359622955322,1.558257818222046,0.3002968728542328,0.5618778280542986,0.41869396723768953,0.1499657316207769,0.1344357831949073,11.258249282836914,11.257920265197754,-0.00032901763916015625,0.014652014710009098,0.5,-0.10771428793668747,0.6971032023429871,1.712825059890747,0.3345101773738861,0.5864831038798498,0.4070137219539178,0.18721582095687403,0.195790768110175
13,0.33116416029986884,3.6258494592848276,0.33116416029986884,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.045889291912317276,0.8445490598678589,2.4413976669311523,0.44785478711128235,0.676932857309409,0.3594874234171657,0.39313554244260895,0.3919076632399878,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.16757255792617798,0.8147831559181213,2.248326063156128,0.3897325098514557,0.5302601809954751,0.4191485041768424,0.12128160201302661,0.10495460743635927,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.10207846760749817,0.85145103931427,2.470970630645752,0.448729008436203,0.5745932415519399,0.4122512878833578,0.17420992713029101,0.1914727943508783
14,0.3281729867770558,3.3802989993776595,0.3281729867770558,11.303436279296875,9.391010284423828,9.391813278198242,0.0008029937744140625,0.0011904762359336019,1.0,-0.5232427716255188,0.662102460861206,1.6163831949234009,0.33993977308273315,0.6725179773822644,0.35424312887472736,0.3973308794265,0.3606642141432043,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.13391852378845215,0.6222086548805237,1.4873558282852173,0.29269781708717346,0.5566742081447964,0.43056050040429167,0.14689212811052907,0.12190699811137769,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.07610005140304565,0.6482810974121094,1.6588345766067505,0.3368072509765625,0.5789267834793492,0.3999416307725097,0.1808752684482817,0.19343523490916273
15,0.32203713204889073,3.255642603124891,0.32203713204889073,11.303093910217285,9.390073776245117,9.391813278198242,0.001739501953125,0.0065476191230118275,0.8181818127632141,-0.7714361548423767,0.951709508895874,2.091010332107544,0.3756861090660095,0.6788862272024355,0.3675244674697348,0.39223677816659613,0.3641207559006236,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.10738857090473175,0.9298222064971924,1.918567180633545,0.3168114423751831,0.5590497737556561,0.4332406744180614,0.13929728809184297,0.13311214333112145,11.257678031921387,11.257920265197754,0.0002422332763671875,0.0018315018387511373,1.0,-0.03672913834452629,0.9613734483718872,2.1437630653381348,0.3706739544868469,0.5684136420525657,0.39243152717498464,0.1542407452806557,0.159645560484163
16,0.3185506782361439,3.446774540628706,0.3185506782361439,11.303561210632324,9.389604568481445,9.391813278198242,0.002208709716796875,0.01845238171517849,0.6451612710952759,-0.8680683374404907,0.6319248080253601,1.840643048286438,0.41851377487182617,0.6867019065154125,0.3747430647785935,0.41842087071047723,0.403994803761207,12.363207817077637,12.362518310546875,-0.0006895065307617188,0.010948904789984226,0.6666666865348816,-0.28162476420402527,0.6010499596595764,1.6898248195648193,0.3589960038661957,0.5455316742081447,0.4401328477205667,0.16348413576075205,0.1351206457775801,11.2576265335083,11.257920265197754,0.000293731689453125,0.02014652080833912,0.4545454680919647,-0.5472366213798523,0.6273091435432434,1.8780323266983032,0.4135371744632721,0.579630788485607,0.40282045242715975,0.20011622547454147,0.21416504767225122
17,0.3375839759906133,3.5657342536108834,0.3375839759906133,11.303719997406006,9.389497756958008,9.391813278198242,0.002315521240234375,0.01785714365541935,0.6666666865348816,-1.0218831300735474,0.75166916847229,2.4352266788482666,0.4473079741001129,0.6752060607260465,0.3643057909490339,0.4062706957668017,0.4052261272551637,12.364544868469238,12.362518310546875,-0.0020265579223632812,0.007299270015209913,0.5,-0.15278387069702148,0.7199587225914001,2.2318623065948486,0.3727434575557709,0.5315045248868778,0.4319503027222625,0.11615784179326928,0.10232191166497737,11.258249282836914,11.257920265197754,-0.00032901763916015625,0.014652014710009098,0.5,-0.389931857585907,0.7521417737007141,2.4845728874206543,0.4476899206638336,0.5797403003754693,0.4092124620101026,0.1916558975459069,0.20691546683529638
18,0.32370408248333704,3.230046280225118,0.32370408248333704,11.303719997406006,9.389819145202637,9.391813278198242,0.0019941329956054688,0.013095238246023655,0.6818181872367859,-1.1630090475082397,0.8576130270957947,2.0919032096862793,0.43164950609207153,0.6836464664462526,0.3729114423405602,0.4353890845154772,0.4127828810654139,12.364544868469238,12.362518310546875,-0.0020265579223632812,0.007299270015209913,0.5,-0.059420064091682434,0.8434654474258423,1.8994574546813965,0.356306791305542,0.5420814479638009,0.4198758249326501,0.13737830535096257,0.12503671510970782,11.258249282836914,11.257920265197754,-0.00032901763916015625,0.014652014710009098,0.5,-0.25070682168006897,0.8737725019454956,2.103968858718872,0.4190772771835327,0.5676314142678348,0.39519616594046975,0.17298709659777456,0.18081564880283493
19,0.32218612205414543,3.6322379963738576,0.32218612205414543,11.303581237792969,9.38874626159668,9.391813278198242,0.0030670166015625,0.02083333395421505,0.6857143044471741,-1.1199026107788086,0.6855471730232239,1.8136298656463623,0.37325921654701233,0.6776235759427539,0.37156029911907007,0.4488175666903548,0.42093963365329956,12.364544868469238,12.362518310546875,-0.0020265579223632812,0.007299270015209913,0.5,-0.24302175641059875,0.6814531087875366,1.650762915611267,0.3054816722869873,0.5174773755656109,0.4263308915043478,0.11123453796565068,0.0948770937092105,11.257925033569336,11.257920265197754,-4.76837158203125e-06,0.02014652080833912,0.5454545617103577,-0.6485159397125244,0.7062633633613586,1.7659118175506592,0.35851481556892395,0.5558510638297872,0.38713953911744103,0.17041919320744797,0.17561292170419518
20,0.31729639428002493,3.7231016090938023,0.31729639428002493,11.3031005859375,9.389368057250977,9.391813278198242,0.002445220947265625,0.01845238171517849,0.6451612710952759,-0.7346389293670654,0.6393993496894836,1.59979248046875,0.3109537959098816,0.6951995054982523,0.3846798233430805,0.3968960382355647,0.37186283839805767,12.358996391296387,12.362518310546875,0.0035219192504882812,0.021897809579968452,0.8333333134651184,-0.30468517541885376,0.6168314218521118,1.4730255603790283,0.2619362473487854,0.5792420814479639,0.4774754074452083,0.19143167864730276,0.16917360012250524,11.257302284240723,11.257920265197754,0.00061798095703125,0.018315019086003304,0.5,-0.6648398041725159,0.6363555192947388,1.5793836116790771,0.31084057688713074,0.5875312891113892,0.4102638717272333,0.1799395121604475,0.19017659126677455
