epoch,train_loss,train_mse,train_regret_bce,test_avg_mae,train_learned_routing_mae,train_all_environment_mae,train_net_gain,train_inv_route_ratio,train_inv_switch_precision,train_delta_hat_min,train_delta_hat_mean,train_delta_hat_max,train_delta_hat_std,train_inv_auroc,train_inv_auprc,train_delta_pearson,train_delta_spearman,val_learned_routing_mae,val_all_environment_mae,val_net_gain,val_inv_route_ratio,val_inv_switch_precision,val_delta_hat_min,val_delta_hat_mean,val_delta_hat_max,val_delta_hat_std,val_inv_auroc,val_inv_auprc,val_delta_pearson,val_delta_spearman,test_learned_routing_mae,test_all_environment_mae,test_net_gain,test_inv_route_ratio,test_inv_switch_precision,test_delta_hat_min,test_delta_hat_mean,test_delta_hat_max,test_delta_hat_std,test_inv_auroc,test_inv_auprc,test_delta_pearson,test_delta_spearman
1,0.3780427492090634,3.3653219512530734,0.3780427492090634,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.11827749013900757,0.5269651412963867,1.1868658065795898,0.19981178641319275,0.6324211007943265,0.2978565938128683,0.39366960372780346,0.3553084717291094,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.1728987842798233,0.5180763006210327,1.0917452573776245,0.17559482157230377,0.5104072398190045,0.3963348021717853,0.08187230626224316,0.09715510766605659,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.18378375470638275,0.5228750109672546,1.1227025985717773,0.19591672718524933,0.5793257196495619,0.4009623324436963,0.18171039802109284,0.21590562193448143
2,0.3586336042909395,2.8598469382240657,0.3586336042909395,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.11563917249441147,0.6943227052688599,1.7933756113052368,0.35402777791023254,0.6281294063559313,0.29227943217475305,0.282692895556975,0.2712990815904447,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.14109613001346588,0.6604758501052856,1.5393027067184448,0.32996702194213867,0.55039592760181,0.4040178161252546,0.13686379209460814,0.10396698192318632,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.15702298283576965,0.6688873171806335,1.6878701448440552,0.34986555576324463,0.5784574468085106,0.37121981414983185,0.16182406622953252,0.17464463986443757
3,0.34670478886082057,3.3806225907234917,0.34670478886082057,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.1172570064663887,0.7406424880027771,1.5950204133987427,0.2800116240978241,0.6421659528507542,0.3002807044654771,0.3574234105474484,0.3071848702751733,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.1722525656223297,0.7080347537994385,1.4714324474334717,0.23877406120300293,0.5411764705882353,0.41267180655047464,0.10491563643050347,0.10511794774568498,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.20357374846935272,0.7339785099029541,1.532410979270935,0.2705267667770386,0.5680381727158949,0.3750217812346153,0.154928579944078,0.17299279557468508
4,0.34588896341267084,2.9373682498931886,0.34588896341267084,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.11377879977226257,0.7490411400794983,2.0191726684570312,0.3569725453853607,0.6604501989665618,0.3355808084555612,0.4080622816648752,0.391554460623991,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.15353275835514069,0.7298623323440552,1.8532354831695557,0.30207207798957825,0.5073529411764706,0.40174390396382537,0.10487597062818975,0.07577852804130177,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.17822691798210144,0.7610421180725098,2.064483880996704,0.3468400239944458,0.5640331664580726,0.38999128218739626,0.1532677512830521,0.17668367893281098
5,0.3363288123692785,3.1231167986279442,0.3363288123692785,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.11549355834722519,0.8770171999931335,2.5773603916168213,0.43593332171440125,0.6601444349855587,0.3377597136265135,0.32177904539217295,0.33091420809106703,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.18261101841926575,0.8415870666503906,2.2410776615142822,0.389026939868927,0.5625565610859729,0.4259898725776085,0.15423233650820503,0.14613503285036133,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.1911732256412506,0.8682105541229248,2.5024969577789307,0.43284162878990173,0.594633917396746,0.40928711705344695,0.19708676391466004,0.20736702205598434
6,0.33868267365864346,3.461741805076599,0.33868267365864346,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.07529943436384201,0.6043500900268555,1.68390691280365,0.27981212735176086,0.6639609853959204,0.34771600385710427,0.40198535645092337,0.39419291805257056,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.12876851856708527,0.5853180289268494,1.525221586227417,0.22980374097824097,0.5050339366515837,0.39648923858470353,0.09883291508898631,0.07980895017391368,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.14302469789981842,0.6223223209381104,1.7412772178649902,0.27109596133232117,0.557869211514393,0.38807957474617866,0.16357467377582782,0.1721401855947249
7,0.32964016639050986,3.5344288212912423,0.32964016639050986,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.12275704741477966,0.8033069968223572,1.8180961608886719,0.3392435908317566,0.6344778585082678,0.31498884073182654,0.3964132752266104,0.36282798011686485,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.23784565925598145,0.8062746524810791,1.6494207382202148,0.2906508147716522,0.4856334841628959,0.37782997007446073,0.06470092543936952,0.05884247139721592,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.15371225774288177,0.8378524780273438,1.7341806888580322,0.31470420956611633,0.5399092615769712,0.36523654334503275,0.1296445296255048,0.13632179336353897
8,0.3374949932098389,3.630933994338626,0.3374949932098389,11.303436279296875,9.391809463500977,9.391813278198242,3.814697265625e-06,0.0005952381179668009,1.0,-0.002134388778358698,0.7160782814025879,1.798805594444275,0.36027494072914124,0.6565632568483433,0.34261071228621093,0.43430415353605534,0.40828975749236784,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.06768832355737686,0.7068338394165039,1.6390109062194824,0.30166730284690857,0.4871606334841629,0.3783357685968991,0.08493025957424856,0.06025653178937851,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.0573846772313118,0.7366267442703247,1.8428032398223877,0.3372679650783539,0.5561013767209011,0.3804261356118766,0.1616149696440319,0.18331767020360346
9,0.3376731305604889,3.1192802395139423,0.3376731305604889,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.0791877806186676,0.8569542765617371,2.138226270675659,0.358533650636673,0.6696473155462287,0.3528096285405244,0.3814509023665774,0.37418083638358574,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.13997751474380493,0.8398475646972656,1.9313030242919922,0.30832144618034363,0.5360294117647059,0.4183634084241644,0.1341511893660394,0.11470894069434215,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.15506577491760254,0.8803176283836365,2.1994950771331787,0.3515182137489319,0.5743898623279099,0.3958230510398978,0.19293287344935928,0.19494671003316993
10,0.3368858663808732,3.251415017105284,0.3368858663808732,11.303269863128662,9.391383171081543,9.391813278198242,0.00043010711669921875,0.0023809524718672037,0.75,-0.04562210291624069,0.806404709815979,2.1785097122192383,0.44257375597953796,0.6545284965431072,0.3307620082471263,0.32409246984437645,0.30972834516983644,12.36175537109375,12.362518310546875,0.000762939453125,0.0036496350076049566,1.0,-0.008517167530953884,0.7502898573875427,1.9677907228469849,0.39915651082992554,0.5558823529411765,0.42840325421799386,0.16095172604025965,0.11962315057205569,11.25770378112793,11.257920265197754,0.00021648406982421875,0.0018315018387511373,1.0,-0.00633695675060153,0.7868061661720276,2.2468788623809814,0.4405241906642914,0.5851533166458073,0.39218702417067847,0.18916111186483134,0.1931115158929928
