confidence_group,lower_bound,upper_bound,sample_count,gmm_routing_mae,uniform_mae,best_fixed_mae,oracle_mae,routing_gain_vs_uniform,routing_gain_vs_best_fixed
low,-inf,1.0,19,8.69044017791748,8.690114974975586,8.690441131591797,8.685026168823242,-0.00032550410833209753,5.019338544798302e-08
medium,1.0,1.0,0,,,,,,
high,1.0,inf,527,7.654702663421631,7.654627799987793,7.65471887588501,7.648458003997803,-7.49941827962175e-05,1.6144602341228165e-05
