cluster,sample_count,selected_correction_abs_mean,invariant_mae_minus_selected_expert_mae
0,248,113.8840560913086,157.00869750976562
1,181,104.68167114257812,123.5113296508789
2,117,111.37167358398438,114.56398010253906
