cluster,workday_or_holiday,count,ratio_within_cluster
0,holiday,33,0.32038834951456313
0,workday,70,0.6796116504854369
1,holiday,101,0.3289902280130293
1,workday,206,0.6710097719869706
2,holiday,58,0.4264705882352941
2,workday,78,0.5735294117647058
