cluster,rush_or_nonrush,count,ratio_within_cluster
0,non_rush,88,0.8543689320388349
0,rush,15,0.14563106796116504
1,non_rush,227,0.739413680781759
1,rush,80,0.26058631921824105
2,non_rush,93,0.6838235294117647
2,rush,43,0.3161764705882353
