expert,oracle_count,native_selected_count,fixed_global_mae,fixed_sample_mae_mean
0,182,103,7.793151378631592,7.691242674968015
1,186,307,7.7927069664001465,7.69077935690278
2,178,136,7.792784690856934,7.69076054424695
