sample_index,native_mae,invariant_mae,expert_0_mae,expert_1_mae,expert_2_mae,native_argmax_mae,uniform_mae,oracle_mae,oracle_route,native_route,native_argmax_route,best_env_route,environment_gain,oracle_environment_group,route_regret,relative_route_regret,argmax_route_regret,env_use_score,correction_norm,routing_entropy,max_router_prob,valid_count,expert_selection_regret
10,7.0954111857586595,130.1929358057229,7.102885418627635,7.103170004235693,7.0954111857586595,7.0954111857586595,7.100141778049699,7.0954111857586595,expert_2,2,2,2,0.9455007973985116,environment_preferred,0.0,0.0,0.0,,0.7000188827514648,5.5262041470660606e-11,1.0,166,0.0
11,8.526515415736608,122.58386811755952,8.528663998558407,8.533980596633185,8.526515415736608,8.526515415736608,8.529437837146578,8.526515415736608,expert_2,2,2,2,0.9304434135855497,environment_preferred,0.0,0.0,0.0,,0.6668040156364441,5.5262041470660606e-11,1.0,168,0.0
12,8.414962584713855,121.37709431475903,8.412666045039533,8.406971391425076,8.414962584713855,8.414962584713855,8.411523290427334,8.406971391425076,expert_1,2,2,1,0.9307367552429304,environment_preferred,0.007991193288779286,0.0009505436520136283,0.007991193288779286,,0.6574570536613464,5.5262041470660606e-11,1.0,166,0.007991193288779286
13,8.453854532636834,114.29299186390533,8.441444532405695,8.451860235992973,8.453854532636834,8.453854532636834,8.449054785734099,8.441444532405695,expert_0,2,2,0,0.9261420635268927,environment_preferred,0.012410000231138696,0.0014701275573745928,0.012410000231138696,,0.6569644212722778,5.5262041470660606e-11,1.0,169,0.012410000231138696
14,7.4254099527994795,112.42961774553571,7.421659197126116,7.423404511951265,7.4254099527994795,7.4254099527994795,7.423368181501116,7.421659197126116,expert_0,2,2,0,0.9339883978443855,environment_preferred,0.0037507556733631375,0.0005053796696587119,0.0037507556733631375,,0.6300427913665771,5.5262041470660606e-11,1.0,168,0.0037507556733631375
15,8.041172270140896,97.9220895050578,8.018323953441113,8.023402219562861,8.041172270140896,8.041172270140896,8.027633049584537,8.018323953441113,expert_0,2,2,0,0.918115269047369,environment_preferred,0.0228483166997826,0.002849512794999646,0.0228483166997826,,0.5926642417907715,5.5262041470660606e-11,1.0,173,0.0228483166997826
16,7.156745954241072,90.70837611607143,7.16419921875,7.156745954241072,7.1553383091517855,7.156745954241072,7.158642578125,7.1553383091517855,expert_2,1,1,2,0.9211171160202919,environment_preferred,0.001407645089286369,0.0001967265597331673,0.001407645089286369,,0.5496867299079895,5.5262041470660606e-11,1.0,175,0.001407645089286369
17,8.534461281516336,82.56531871448864,8.534730391068893,8.534461281516336,8.532343777743252,8.534461281516336,8.533829428932883,8.532343777743252,expert_2,1,1,2,0.8966594702159615,environment_preferred,0.0021175037730838397,0.0002481737525165571,0.0021175037730838397,,0.4982238709926605,5.5262041470660606e-11,1.0,176,0.0021175037730838397
18,6.4639742667214914,63.17350831505848,6.448189361750731,6.4639742667214914,6.451592339409722,6.4639742667214914,6.4545677140442255,6.448189361750731,expert_0,1,1,0,0.8979289019442712,environment_preferred,0.01578490497076057,0.002447959277435806,0.01578490497076057,,0.44043412804603577,5.5262041470660606e-11,1.0,171,0.01578490497076057
19,5.090346284969124,51.76734421781437,5.076959849831587,5.090346284969124,5.0872817353574105,5.090346284969124,5.084769425991767,5.076959849831587,expert_0,1,1,0,0.901927365088115,environment_preferred,0.013386435137537234,0.0026367029745136333,0.013386435137537234,,0.38737577199935913,5.5262041470660606e-11,1.0,167,0.013386435137537234
20,4.707389028448808,45.81648334703947,4.727457146895559,4.707389028448808,4.687512046412418,4.707389028448808,4.707146895559211,4.687512046412418,expert_2,1,1,2,0.8976893968289404,environment_preferred,0.01987698203638999,0.004240411936989648,0.01987698203638999,,0.355111688375473,5.5262041470660606e-11,1.0,152,0.01987698203638999
21,4.185682836072198,38.121720096982756,4.185682836072198,4.180327316810345,4.189343682650862,4.185682836072198,4.1838871396821125,4.180327316810345,expert_1,0,0,1,0.8903426365291106,environment_preferred,0.005355519261852848,0.0012811243847620987,0.005355519261852848,,0.3313474655151367,5.5262041470660606e-11,1.0,145,0.005355519261852848
22,4.251103221921992,33.60079152960526,4.251103221921992,4.2542371247944075,4.2364492774906015,4.251103221921992,4.247263055098684,4.2364492774906015,expert_2,0,0,2,0.873918170238403,environment_preferred,0.014653944431390897,0.0034590156689119967,0.014653944431390897,,0.3143175542354584,5.5262041470660606e-11,1.0,133,0.014653944431390897
23,4.042320372566344,29.96891857328869,4.042320372566344,4.047727796766493,4.043520730639261,4.042320372566344,4.044163052997892,4.042320372566344,expert_0,0,0,0,0.8651162415927391,environment_preferred,0.0,0.0,0.0,,0.3021546006202698,5.5262041470660606e-11,1.0,126,0.0
24,3.8242730609441207,29.231792902542374,3.8242730609441207,3.780748011702198,3.787384033203125,3.8242730609441207,3.7971858654992054,3.780748011702198,expert_1,0,0,1,0.8706631500740628,environment_preferred,0.0435250492419228,0.011512285163466002,0.0435250492419228,,0.3015546202659607,5.5262041470660606e-11,1.0,118,0.0435250492419228
25,4.0599903453480115,28.74894353693182,4.0599903453480115,4.111103959517045,4.084056230024858,4.0599903453480115,4.084659645774147,4.0599903453480115,expert_0,0,0,0,0.8587777550805504,environment_preferred,0.0,0.0,0.0,,0.29953891038894653,5.5262041470660606e-11,1.0,110,0.0
26,4.271075607439793,29.406509819380734,4.271075607439793,4.216296554705418,4.232408436066514,4.271075607439793,4.238848484984231,4.216296554705418,expert_1,0,0,1,0.8566203000423187,environment_preferred,0.054779052734375,0.012992220073619151,0.054779052734375,,0.3044881224632263,5.5262041470660606e-11,1.0,109,0.054779052734375
27,4.123666763305664,30.353134155273438,4.123666763305664,4.147101720174153,4.130980173746745,4.123666763305664,4.133135477701823,4.123666763305664,expert_0,0,0,0,0.8641436254256059,environment_preferred,0.0,0.0,0.0,,0.30075201392173767,5.5262041470660606e-11,1.0,96,0.0
28,3.507696472772277,30.087163037592823,3.507696472772277,3.435761102355353,3.465923044941213,3.507696472772277,3.467679467531714,3.435761102355353,expert_1,0,0,1,0.8858064119218387,environment_preferred,0.0719353704169241,0.020937244550446044,0.0719353704169241,,0.2975623905658722,5.5262041470660606e-11,1.0,101,0.0719353704169241
29,5.359328225394275,35.45457387193341,5.359328225394275,5.365884656103972,5.351612697137851,5.359328225394275,5.356350622444509,5.351612697137851,expert_2,0,0,2,0.8490571987561158,environment_preferred,0.00771552825642452,0.0014417202239898523,0.00771552825642452,,0.2919885516166687,5.5262041470660606e-11,1.0,107,0.00771552825642452
30,5.041653160287552,45.14222935267857,5.041653160287552,5.096671481092437,5.059603138130252,5.041653160287552,5.0652265789128155,5.041653160287552,expert_0,0,0,0,0.8883162565831854,environment_preferred,0.0,0.0,0.0,,0.3253649175167084,5.5262041470660606e-11,1.0,119,0.0
31,7.86664414943609,76.31440906954887,7.879485395617951,7.86664414943609,7.86412381050282,7.86664414943609,7.86971426368656,7.86412381050282,expert_2,1,1,2,0.896950996458141,environment_preferred,0.0025203389332704162,0.00032048566299330296,0.0025203389332704162,,0.4240761399269104,5.5262041470660606e-11,1.0,133,0.0025203389332704162
32,7.418188928674769,96.21946614583334,7.411323603877315,7.418188928674769,7.405357530381944,7.418188928674769,7.411623354311343,7.405357530381944,expert_2,1,1,2,0.9230368050560772,environment_preferred,0.012831398292824758,0.0017327182705468857,0.012831398292824758,,0.4951537251472473,5.5262041470660606e-11,1.0,135,0.012831398292824758
33,10.580027860753676,121.60624425551471,10.565634334788603,10.580027860753676,10.583124497357536,10.580027860753676,10.575974408318014,10.565634334788603,expert_0,1,1,0,0.913116021307356,environment_preferred,0.014393525965072484,0.001362296432849289,0.014393525965072484,,0.595384955406189,5.5262041470660606e-11,1.0,136,0.014393525965072484
34,7.898853058510638,125.66802415780141,7.892818802637412,7.898853058510638,7.900248642508865,7.898853058510638,7.8972765334109045,7.892818802637412,expert_0,1,1,0,0.9371931017811946,environment_preferred,0.0060342558732262574,0.0007645248198539527,0.0060342558732262574,,0.613408088684082,5.5262041470660606e-11,1.0,141,0.0060342558732262574
35,9.44284792712135,140.07932253649636,9.450332530223541,9.44277931825958,9.44284792712135,9.44284792712135,9.445319628193431,9.44277931825958,expert_1,2,2,1,0.9325897702296544,environment_preferred,6.860886177051384e-05,7.2657487227139066e-06,6.860886177051384e-05,,0.645557701587677,5.5262041470660606e-11,1.0,137,6.860886177051384e-05
36,8.729227701822916,136.24201766304347,8.739463032155797,8.733789416326992,8.729227701822916,8.729227701822916,8.734113168025363,8.729227701822916,expert_2,2,2,2,0.9359285200589716,environment_preferred,0.0,0.0,0.0,,0.636064887046814,5.5262041470660606e-11,1.0,138,0.0
37,9.955675012925091,133.36704388786765,9.969558715820312,9.955675012925091,9.957614674287683,9.955675012925091,9.960932114545036,9.955675012925091,expert_1,1,1,1,0.9253513107683812,environment_preferred,0.0,0.0,0.0,,0.6103445291519165,5.5262041470660606e-11,1.0,136,0.0
38,10.92813491821289,123.78040313720703,10.933206558227539,10.92813491821289,10.947187423706055,10.92813491821289,10.936176300048828,10.92813491821289,expert_1,1,1,1,0.9117135294340626,environment_preferred,0.0,0.0,0.0,,0.5868642330169678,5.5262041470660606e-11,1.0,128,0.0
39,9.196033477783203,123.0722885131836,9.197336196899414,9.196033477783203,9.195322036743164,9.196033477783203,9.196063995361328,9.195322036743164,expert_2,1,1,2,0.9252851950034378,environment_preferred,0.0007114410400390625,7.736988842764266e-05,0.0007114410400390625,,0.570720374584198,5.5262041470660606e-11,1.0,128,0.0007114410400390625
40,9.05115215594952,111.56315354567307,9.0544677734375,9.05115215594952,9.053191669170673,9.05115215594952,9.052936260516827,9.05115215594952,expert_1,1,1,1,0.9188696996428659,environment_preferred,0.0,0.0,0.0,,0.5464262366294861,5.5262041470660606e-11,1.0,130,0.0
41,8.803951539855072,117.46313830389492,8.807541114696559,8.803951539855072,8.803440259850543,8.803951539855072,8.804975868999094,8.803440259850543,expert_2,1,1,2,0.925053592242064,environment_preferred,0.0005112800045292687,5.8077295856830035e-05,0.0005112800045292687,,0.5801846385002136,5.5262041470660606e-11,1.0,138,0.0005112800045292687
42,10.555613356370193,126.59767127403846,10.554338191105769,10.555613356370193,10.553423602764424,10.555613356370193,10.554400165264424,10.553423602764424,expert_2,1,1,2,0.9166380906018401,environment_preferred,0.00218975360576934,0.0002074922497373974,0.00218975360576934,,0.5922058820724487,5.5262041470660606e-11,1.0,130,0.00218975360576934
43,7.774329690372243,118.39697265625,7.777133717256434,7.774329690372243,7.782061408547794,7.774329690372243,7.777840109432445,7.774329690372243,expert_1,1,1,1,0.9343367527399202,environment_preferred,0.0,0.0,0.0,,0.5806142687797546,5.5262041470660606e-11,1.0,136,0.0
44,9.00236183449074,113.89867621527777,9.000446686921297,9.00236183449074,8.993927228009259,9.00236183449074,8.998912217881944,8.993927228009259,expert_2,1,1,2,0.9210357176495186,environment_preferred,0.00843460648148131,0.000937811288400679,0.00843460648148131,,0.559576153755188,5.5262041470660606e-11,1.0,135,0.00843460648148131
45,9.933799342105264,118.1212773143797,9.93419216987782,9.933799342105264,9.943850409715695,9.933799342105264,9.936963992011279,9.933799342105264,expert_1,1,1,1,0.9159016938526117,environment_preferred,0.0,0.0,0.0,,0.5732158422470093,5.5262041470660606e-11,1.0,133,0.0
46,9.390306103137112,120.02651859253876,9.388466531916182,9.390306103137112,9.390377074249031,9.390306103137112,9.38971562348595,9.388466531916182,expert_0,1,1,0,0.921780064588995,environment_preferred,0.0018395712209304804,0.0001959394768758924,0.0018395712209304804,,0.5727421641349792,5.5262041470660606e-11,1.0,129,0.0018395712209304804
47,10.050573450918415,124.09664241412214,10.051564922769561,10.050573450918415,10.05293751490935,10.050573450918415,10.051495035186068,10.050573450918415,expert_1,1,1,1,0.9190101097386768,environment_preferred,0.0,0.0,0.0,,0.5848773717880249,5.5262041470660606e-11,1.0,131,0.0
48,9.729501297224813,121.76768015391791,9.739713298740671,9.729501297224813,9.737261871793377,9.729501297224813,9.735490941289646,9.729501297224813,expert_1,1,1,1,0.9200978347873061,environment_preferred,0.0,0.0,0.0,,0.5857144594192505,5.5262041470660606e-11,1.0,134,0.0
49,8.676692222481343,108.99124737639926,8.662996662196829,8.676692222481343,8.671032350454757,8.676692222481343,8.670241626340951,8.662996662196829,expert_0,1,1,0,0.920516583939265,environment_preferred,0.01369556028451413,0.0015809264182541085,0.01369556028451413,,0.556679904460907,5.5262041470660606e-11,1.0,134,0.01369556028451413
50,9.552912193959154,101.10520730807086,9.55845245601624,9.552912193959154,9.55957992433563,9.552912193959154,9.556628129613681,9.552912193959154,expert_1,1,1,1,0.9055151317295544,environment_preferred,0.0,0.0,0.0,,0.5101336240768433,5.5262041470660606e-11,1.0,127,0.0
51,7.470847025404882,86.52707287864963,7.460091027030109,7.470847025404882,7.456165174498175,7.470847025404882,7.462368484831204,7.456165174498175,expert_2,1,1,2,0.9138285287316361,environment_preferred,0.014681850906706373,0.001969088742417044,0.014681850906706373,,0.4839491844177246,5.5262041470660606e-11,1.0,137,0.014681850906706373
52,8.34623061131387,96.15840271441606,8.35190643533303,8.34623061131387,8.360361363765968,8.34623061131387,8.352541735572537,8.34623061131387,expert_1,1,1,1,0.9132033147836117,environment_preferred,0.0,0.0,0.0,,0.5023874640464783,5.5262041470660606e-11,1.0,137,0.0
53,9.44283990790374,113.9813526459854,9.434491902372264,9.44283990790374,9.44637994696624,9.44283990790374,9.441236955406023,9.434491902372264,expert_0,1,1,0,0.9172277597751025,environment_preferred,0.008348005531477298,0.0008848389100189092,0.008348005531477298,,0.5762298703193665,5.5262041470660606e-11,1.0,137,0.008348005531477298
54,9.373882092927632,125.91728772615132,9.367622777035361,9.368233931692023,9.373882092927632,9.373882092927632,9.36983289216694,9.367622777035361,expert_0,2,2,0,0.925604951105615,environment_preferred,0.006259315892270578,0.0006681861600592236,0.006259315892270578,,0.6403397917747498,5.5262041470660606e-11,1.0,152,0.006259315892270578
55,9.078146632713608,134.66123170490508,9.068703953223892,9.074961988231804,9.078146632713608,9.078146632713608,9.073803092859968,9.068703953223892,expert_0,2,2,0,0.9326554210264694,environment_preferred,0.009442679489716,0.0010412380356025581,0.009442679489716,,0.6996067762374878,5.5262041470660606e-11,1.0,158,0.009442679489716
56,9.753292083740234,139.8222900390625,9.760057067871093,9.755467224121094,9.753292083740234,9.753292083740234,9.756170654296875,9.753292083740234,expert_2,2,2,2,0.9302450840919897,environment_preferred,0.0,0.0,0.0,,0.7112061381340027,5.5262041470660606e-11,1.0,160,0.0
57,9.579742623575079,143.0807783018868,9.592700502407626,9.58684035966981,9.579742623575079,9.579742623575079,9.58642578125,9.579742623575079,expert_2,2,2,2,0.9330466136872506,environment_preferred,0.0,0.0,0.0,,0.7289941310882568,5.5262041470660606e-11,1.0,159,0.0
58,8.698427077622442,137.27759502923976,8.70651370042946,8.696937962582236,8.698427077622442,8.698427077622442,8.700626484831872,8.696937962582236,expert_1,2,2,1,0.9366470693143348,environment_preferred,0.0014891150402061015,0.0001712229116285387,0.0014891150402061015,,0.7246059775352478,5.5262041470660606e-11,1.0,171,0.0014891150402061015
59,8.74668479100459,130.42708333333334,8.751102770789196,8.74733100503178,8.74668479100459,8.74668479100459,8.748145496777896,8.74668479100459,expert_2,2,2,2,0.9329381247554955,environment_preferred,0.0,0.0,0.0,,0.7180625796318054,5.5262041470660606e-11,1.0,177,0.0
