epoch,train_loss,train_mse,train_regret_bce,test_avg_mae,train_learned_routing_mae,train_all_environment_mae,train_net_gain,train_inv_route_ratio,train_inv_switch_precision,train_delta_hat_min,train_delta_hat_mean,train_delta_hat_max,train_delta_hat_std,train_inv_auroc,train_inv_auprc,train_delta_pearson,train_delta_spearman,val_learned_routing_mae,val_all_environment_mae,val_net_gain,val_inv_route_ratio,val_inv_switch_precision,val_delta_hat_min,val_delta_hat_mean,val_delta_hat_max,val_delta_hat_std,val_inv_auroc,val_inv_auprc,val_delta_pearson,val_delta_spearman,test_learned_routing_mae,test_all_environment_mae,test_net_gain,test_inv_route_ratio,test_inv_switch_precision,test_delta_hat_min,test_delta_hat_mean,test_delta_hat_max,test_delta_hat_std,test_inv_auroc,test_inv_auprc,test_delta_pearson,test_delta_spearman
1,0.3773515909200623,3.388048635777973,0.3773515909200623,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.1385672688484192,0.5448681712150574,1.1620581150054932,0.19179502129554749,0.6299441925741147,0.2959299778673155,0.37994445912514646,0.34337061912169997,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.1710682362318039,0.5362350344657898,1.0916181802749634,0.17213395237922668,0.5164027149321267,0.3967319915897345,0.0675904784063046,0.09185529798668485,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.19065314531326294,0.5421538352966309,1.1122196912765503,0.19144658744335175,0.5745932415519399,0.4033120428741165,0.17368964953892732,0.2045092857262657
2,0.3586526984260196,2.870465530100323,0.3586526984260196,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.13451765477657318,0.6982182860374451,1.8062251806259155,0.35420137643814087,0.6252807419286008,0.29073082241573406,0.2778235727724919,0.266501029943366,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.1331789791584015,0.6664990782737732,1.6036843061447144,0.333283007144928,0.5540723981900453,0.4035204936370151,0.12620490569364845,0.10270342795890242,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.1616697758436203,0.6751365661621094,1.7180489301681519,0.35376280546188354,0.5753911138923654,0.37179652201045216,0.15565894796321705,0.1702496989785452
3,0.3479016351557913,3.427017208508083,0.3479016351557913,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.1485070437192917,0.7390410900115967,1.5934516191482544,0.26931631565093994,0.6335803642330934,0.29540035897041267,0.33407505884268474,0.28179895264110805,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.1714118868112564,0.7086595892906189,1.4697061777114868,0.23365166783332825,0.5538461538461539,0.418571215736117,0.09406558691996834,0.11050526116219549,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.20372231304645538,0.7352803945541382,1.5099622011184692,0.2630404531955719,0.5611232790988736,0.3701743661493102,0.1395290529253474,0.16098850414131427
4,0.34794131283249174,2.96417571022397,0.34794131283249174,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.12424521893262863,0.7345804572105408,2.0334293842315674,0.3457961976528168,0.6573815604521788,0.33263176635590025,0.3953266417028502,0.38153896228159195,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.16892771422863007,0.7170925140380859,1.9033352136611938,0.29223233461380005,0.5078054298642534,0.4025668905322393,0.0853205355711046,0.06613969971634205,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.17316199839115143,0.7492247819900513,2.0639567375183105,0.34419748187065125,0.5567740926157697,0.38768385686633233,0.14458748679028877,0.16373941540739587
5,0.3372914090752602,3.1216968241192045,0.3372914090752602,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.15092700719833374,0.8638651371002197,2.5440595149993896,0.4276936650276184,0.6581756669064385,0.3357439877616066,0.31712307509814963,0.32980675087139033,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.19175030291080475,0.8365363478660583,2.275926351547241,0.38620588183403015,0.5602941176470588,0.4250331477446867,0.1387753664711312,0.13511889570283733,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.19280388951301575,0.8592818975448608,2.4617671966552734,0.42754167318344116,0.5889705882352941,0.40290440627696267,0.18860231671908548,0.20024424529732884
6,0.33912348420847027,3.433232257479713,0.33912348420847027,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.09489569813013077,0.6079376339912415,1.6718566417694092,0.27346280217170715,0.6621110033238085,0.34805298155835307,0.3919888405918977,0.38507835805970936,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.14144621789455414,0.5953622460365295,1.549716830253601,0.22671188414096832,0.5073529411764706,0.3952821281074962,0.08316904626738092,0.07353493222106361,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.15347418189048767,0.6295921802520752,1.7075872421264648,0.2685548663139343,0.5499374217772215,0.3844384671204772,0.1527805035273149,0.15623932279249855
7,0.330100505053997,3.5401562656675067,0.330100505053997,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.12032805383205414,0.7974147796630859,1.808910846710205,0.3330978751182556,0.6314180189573668,0.3132800362673043,0.3874479543343679,0.35900801244777447,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.2681567668914795,0.8073226809501648,1.6322331428527832,0.2899443507194519,0.4876131221719457,0.3776743279411212,0.04407747909856404,0.04551390215623793,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.1523473560810089,0.8337957262992859,1.6922229528427124,0.3173412084579468,0.5330256570713392,0.3596960652261747,0.11829990079210144,0.1205805415087068
8,0.3371397655634653,3.5566426776704336,0.3371397655634653,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.05167436972260475,0.7190726399421692,1.9009621143341064,0.36697062849998474,0.6551708208773006,0.34381420454047446,0.42547768080479975,0.40481263903685355,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.12184283882379532,0.7128906846046448,1.7756868600845337,0.3085171580314636,0.49445701357466065,0.3827011682683096,0.07875571933863892,0.05861729511364548,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.1092676892876625,0.7420026659965515,1.9346768856048584,0.35306087136268616,0.5523310387984981,0.3760154248501629,0.15855460022845716,0.17898318242480726
9,0.3371026202326729,3.1185227876617794,0.3371026202326729,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.12533779442310333,0.8612621426582336,2.2282583713531494,0.36581751704216003,0.6680942984916377,0.35513730612914995,0.37396389520717827,0.37202837135956696,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.19482499361038208,0.8504723310470581,2.057938575744629,0.3135014772415161,0.5376696832579185,0.41567931748659537,0.12165610434907896,0.10743738013811008,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.18351885676383972,0.8876111507415771,2.2510924339294434,0.3623141348361969,0.5705882352941176,0.39994097832419967,0.18243164466275685,0.18924259076213856
10,0.3379883952793621,3.263104101589748,0.3379883952793621,11.303436279296875,9.391813278198242,9.391813278198242,0.0,0.0,0.0,0.026301858946681023,0.8089180588722229,2.0977561473846436,0.4209950566291809,0.6533626338817288,0.32764727970988106,0.3188745878631585,0.30937530199269386,12.362518310546875,12.362518310546875,0.0,0.0,0.0,0.05280453339219093,0.7626262307167053,1.9414291381835938,0.3850831389427185,0.5611990950226244,0.4308945271862711,0.14836717338914687,0.11980574170355193,11.257920265197754,11.257920265197754,0.0,0.0,0.0,0.07021807879209518,0.7926685214042664,2.1323041915893555,0.42021092772483826,0.5824311639549437,0.39415649269649544,0.1822774870469093,0.19362352422077692
