group,name,seed,finished,best_epoch,best_val_loss,test_mixed_mae,test_workday_mae,test_holiday_mae,test_avg_mae,fpem_env_route_k,fpem_lambda_inv_pred,fpem_use_env_route,fpem_use_env_fusion,fpem_use_confounder_extractor,fpem_use_club_mi,fpem_lambda_club_mi,fpem_use_future_mi,fpem_lambda_future_mi,fpem_use_swap,fpem_lambda_swap,fpem_env_route_head_mode,fpem_use_grad_consensus,fpem_use_pretrained_inv_agcrn,fpem_pretrained_inv_agcrn_path,batch_size,test_batch_size
loo,loo_no_club,2025,true,99,11.290701,10.158039,10.046606,10.352031,10.199318,1,0.000000,true,true,true,false,0.000000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_no_club,2026,true,99,11.725913,10.531630,10.427839,10.711613,10.569726,1,0.000000,true,true,true,false,0.000000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_no_confounder_extractor,2024,true,93,11.697233,10.509140,10.406418,10.687270,10.546844,1,0.000000,true,true,false,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_no_confounder_extractor,2025,true,79,11.273779,10.162910,10.056282,10.348537,10.202410,1,0.000000,true,true,false,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
loo,loo_no_confounder_extractor,2026,true,97,11.714428,10.514418,10.417254,10.682911,10.550083,1,0.000000,true,true,false,true,0.010000,true,0.020000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_inv_only,2024,true,75,11.855185,10.681861,10.594423,10.833490,10.713957,1,0.000000,false,false,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_inv_only,2025,true,72,11.336036,10.222973,10.123464,10.396207,10.259835,1,0.000000,false,false,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_inv_only,2026,true,83,11.829737,10.645506,10.543674,10.822096,10.682885,1,0.000000,false,false,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_env_correction_only,2024,true,89,11.793952,10.587868,10.491208,10.755486,10.623347,1,0.000000,true,true,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_env_correction_only,2025,true,98,11.268403,10.124805,10.021882,10.303982,10.162932,1,0.000000,true,true,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_env_correction_only,2026,true,83,11.742705,10.558681,10.457492,10.734155,10.595823,1,0.000000,true,true,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_confounder_extractor_only,2024,true,95,11.819438,10.633365,10.532512,10.808256,10.670384,1,0.000000,true,true,true,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_confounder_extractor_only,2025,true,100,11.293070,10.156833,10.053950,10.335938,10.194944,1,0.000000,true,true,true,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_confounder_extractor_only,2026,true,83,11.765204,10.562515,10.461226,10.738160,10.599693,1,0.000000,true,true,true,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_club_only,2024,true,99,11.802547,10.622647,10.521129,10.798692,10.659910,1,0.000000,true,true,true,true,0.010000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_club_only,2025,true,91,11.289770,10.162340,10.057116,10.345524,10.201320,1,0.000000,true,true,true,true,0.010000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_club_only,2026,true,99,11.799653,10.564122,10.470591,10.726319,10.598455,1,0.000000,true,true,true,true,0.010000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_future_mi_only,2024,true,98,11.817291,10.617225,10.520926,10.784217,10.652571,1,0.000000,true,true,true,false,0.000000,true,0.020000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_future_mi_only,2025,true,98,11.287533,10.163509,10.060279,10.343225,10.201752,1,0.000000,true,true,true,false,0.000000,true,0.020000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_future_mi_only,2026,true,82,11.742281,10.565129,10.459752,10.747864,10.603808,1,0.000000,true,true,true,false,0.000000,true,0.020000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_swap_only,2024,true,100,11.808748,10.613427,10.519416,10.776454,10.647935,1,0.000000,true,true,true,false,0.000000,false,0.000000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_swap_only,2025,true,78,11.288936,10.194307,10.082247,10.389394,10.235820,1,0.000000,true,true,true,false,0.000000,false,0.000000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_swap_only,2026,true,83,11.786289,10.614372,10.508253,10.798394,10.653324,1,0.000000,true,true,true,false,0.000000,false,0.000000,true,0.010000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_inv_loss_only,2024,true,88,11.847645,10.665448,10.570637,10.829862,10.700249,1,0.200000,false,false,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_inv_loss_only,2025,true,86,11.340829,10.220243,10.117930,10.398355,10.258143,1,0.200000,false,false,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_inv_loss_only,2026,true,77,11.830372,10.660210,10.550178,10.851015,10.700596,1,0.200000,false,false,false,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_k3_route_only,2024,true,66,11.747701,10.596025,10.494284,10.772454,10.633369,3,0.000000,true,true,true,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_k3_route_only,2025,true,81,11.262026,10.142679,10.030626,10.337751,10.184189,3,0.000000,true,true,true,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
bu,bu_k3_route_only,2026,true,84,11.756443,10.565800,10.460030,10.749217,10.604623,3,0.000000,true,true,true,false,0.000000,false,0.000000,false,0.000000,concat_input,false,true,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/pure_agcrn_seed2024/best_val_model.pth,16,16
