confidence_group,lower_bound,upper_bound,sample_count,gmm_routing_mae,uniform_mae,best_fixed_mae,oracle_mae,routing_gain_vs_uniform,routing_gain_vs_best_fixed
low,-inf,1.0,57,8.342564582824707,8.346938133239746,8.344612121582031,8.33149528503418,0.004372228868305683,0.002046886133030057
medium,1.0,1.0,0,,,,,,
high,1.0,inf,489,8.038941383361816,8.047438621520996,8.043578147888184,8.027865409851074,0.008496974594891071,0.004636597819626331
