cluster,rush_or_nonrush,count,ratio_within_cluster
0,non_rush,184,0.7419354838709677
0,rush,64,0.25806451612903225
1,non_rush,124,0.6850828729281768
1,rush,57,0.3149171270718232
2,non_rush,100,0.8547008547008547
2,rush,17,0.1452991452991453
