cluster,sample_count,selected_correction_abs_mean,invariant_mae_minus_selected_expert_mae
0,135,53.48313903808594,65.08308410644531
1,130,68.2962417602539,95.29536437988281
2,281,79.3344497680664,117.2309799194336
