rank,node,mean_abs_correction
1,86,350.44122314453125
2,66,334.8250427246094
3,45,331.3505554199219
4,67,318.5166320800781
5,65,304.593994140625
6,87,300.66943359375
7,108,256.0885009765625
8,44,249.67636108398438
9,24,202.22647094726562
10,64,200.62411499023438
11,46,193.07460021972656
12,42,189.5561065673828
13,43,181.9311065673828
14,107,181.3714599609375
15,23,169.1328125
16,68,160.29669189453125
17,63,152.61325073242188
18,109,137.50572204589844
19,128,133.05032348632812
20,129,115.90372467041016
21,90,104.62361145019531
22,69,100.80643463134766
23,22,100.06591033935547
24,191,99.1784439086914
25,38,96.14136505126953
26,98,92.56379699707031
27,55,91.39002990722656
28,25,89.43487548828125
29,93,86.04750061035156
30,197,84.6753921508789
