scope,expert,soft_usage_mean,hard_count,hard_usage_ratio,route_entropy_mean,route_mean_distribution_entropy,effective_expert_number,max_expert_usage_ratio,min_expert_usage_ratio
expert,0,0.3567557856440544,4,1.0,1.0970425451083297,1.0970425451083345,2.9952944635297,0.3567557856440544,0.3110271170735359
expert,1,0.3110271170735359,0,0.0,1.0970425451083297,1.0970425451083345,2.9952944635297,0.3567557856440544,0.3110271170735359
expert,2,0.33221708983182907,0,0.0,1.0970425451083297,1.0970425451083345,2.9952944635297,0.3567557856440544,0.3110271170735359
overall,all,0.9999999925494194,4,1.0,1.0970425451083297,1.0970425451083345,2.9952944635297,0.3567557856440544,0.3110271170735359
