group_type,group,expert,num_group_samples,num_assigned_samples,assigned_final_mae,group_final_mae,expert_head_mae_on_group
workday_holiday,workday,0,4,4,117.197509765625,117.197509765625,157.31460571289062
workday_holiday,workday,1,4,0,,117.197509765625,131.76205444335938
workday_holiday,workday,2,4,0,,117.197509765625,334.9693908691406
workday_holiday,holiday,0,0,0,,,
workday_holiday,holiday,1,0,0,,,
workday_holiday,holiday,2,0,0,,,
rush_hour,rush_hour,0,1,1,102.28682708740234,102.28682708740234,149.54006958007812
rush_hour,rush_hour,1,1,0,,102.28682708740234,124.58766174316406
rush_hour,rush_hour,2,1,0,,102.28682708740234,320.82537841796875
rush_hour,non_rush_hour,0,3,3,122.11688995361328,122.11688995361328,159.8795928955078
rush_hour,non_rush_hour,1,3,0,,122.11688995361328,134.12904357910156
rush_hour,non_rush_hour,2,3,0,,122.11688995361328,339.63580322265625
