feature_set,regressor,n_train,n_test,residual_mae,r2
z_inv_raw,ridge,2,2,13.08306884765625,-17753.927734375
z_inv_raw,linear_regression,2,2,13.121803283691406,-17828.421875
h_inv,ridge,2,2,13.08306884765625,-17753.927734375
h_inv,linear_regression,2,2,13.121803283691406,-17828.421875
e_env,ridge,2,2,12.521871566772461,-13266.0625
e_env,linear_regression,2,2,12.601432800292969,-13348.228515625
h_inv_plus_e_env,ridge,2,2,9.380050659179688,-10660.9052734375
h_inv_plus_e_env,linear_regression,2,2,9.380578994750977,-10659.669921875
