case,status,best_stage2_epoch,test_avg_mae,all_environment_mae,all_invariant_mae,learned_routing_mae,oracle_mae,env_route_ratio,inv_route_ratio,target_inv_ratio,router_accuracy,balanced_accuracy,inv_switch_precision,inv_switch_recall,correct_beneficial_inv_switches,harmful_inv_switches,saved_loss,added_loss,net_gain,regret,oracle_gap_closed,learned_better_than_all_env,net_gain_positive,over_selects_invariant,hash_identical,stored_future_c_seen,future_load_leakage
frozen_delta_mse,OK,1,11.303436279296875,11.257920265197754,11.461053848266602,11.257920265197754,11.183935165405273,1.0,0.0,0.311355322599411,0.6886447072029114,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.07398509979248047,0.0,False,False,False,True,False,False
frozen_delta_mse_regret_bce_01,OK,1,11.303436279296875,11.257920265197754,11.461053848266602,11.257920265197754,11.183935165405273,1.0,0.0,0.311355322599411,0.6886447072029114,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.07398509979248047,0.0,False,False,False,True,False,False
frozen_delta_mse_regret_bce_02,OK,1,11.303436279296875,11.257920265197754,11.461053848266602,11.257920265197754,11.183935165405273,1.0,0.0,0.311355322599411,0.6886447072029114,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.07398509979248047,0.0,False,False,False,True,False,False
frozen_delta_mse_regret_bce_01_pred_diff,OK,1,11.303436279296875,11.257920265197754,11.461053848266602,11.257920265197754,11.183935165405273,1.0,0.0,0.311355322599411,0.6886447072029114,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.07398509979248047,0.0,False,False,False,True,False,False
