from_cluster,to_cluster,count,probability
0,0,91,0.8921568627450981
0,1,11,0.10784313725490197
0,2,0,0.0
1,0,12,0.03908794788273615
1,1,276,0.8990228013029316
1,2,19,0.06188925081433225
2,0,0,0.0
2,1,19,0.13970588235294118
2,2,117,0.8602941176470589
