cluster,run_length
1,6
2,10
1,5
0,10
1,4
2,2
1,17
2,11
1,5
0,9
1,3
2,3
1,17
2,13
1,8
0,8
1,6
2,6
1,8
2,3
1,4
2,3
1,10
0,8
1,33
0,11
1,22
2,10
1,5
0,11
1,3
2,3
1,17
2,9
1,5
0,11
1,3
2,2
1,18
2,10
1,5
0,10
1,3
2,3
1,17
2,11
1,5
0,9
1,23
2,14
1,7
0,7
1,8
2,5
1,7
2,16
1,5
0,8
1,9
2,2
1,19
0,1
