from_cluster,to_cluster,count,probability
0,0,122,0.9104477611940298
0,1,8,0.05970149253731343
0,2,4,0.029850746268656716
1,0,7,0.05384615384615385
1,1,89,0.6846153846153846
1,2,34,0.26153846153846155
2,0,6,0.021352313167259787
2,1,33,0.11743772241992882
2,2,242,0.8612099644128114
