method,checkpoint,epoch,all_env_mae,all_inv_mae,oracle_mae,routed_mae,router_gain,oracle_gain,captured_oracle_gain,inv_route_ratio,target_inv_ratio,inv_switch_precision,correct_switch_count,wrong_switch_count,net_routing_gain,regret,test_avg_mae
new_relative_gap_ema_huber,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/fpem_agcrn_aligned_confounder_dep_norm_align_obs_k1_counterfactual_risk_router_period_context_0813_conf_gci_seed2024/best_val_model.pth,18,11.275483131408691,11.461053848266602,11.21999740600586,11.274922370910645,0.000560760498046875,0.05548572540283203,0.010106392204761505,0.06227106228470802,0.2765567898750305,0.5,17,17,0.000560760498046875,0.054924964904785156,11.319976806640625
old_absolute_risk_last_model,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/fpem_agcrn_aligned_confounder_dep_norm_align_obs_k1_counterfactual_risk_router_period_context_0813_conf_gci_seed2024/last_model.pth,48,11.28650951385498,11.461053848266602,11.207551002502441,11.288749694824219,-0.0022401809692382812,,-0.028371621131966084,0.06227106228470802,0.3076923191547394,0.4411764705882353,15,19,-0.0022401809692382812,0.08119869232177734,11.340182781219482
