sample_index,valid_count_masked,mae_masked_full,mae_unmasked_full,mae_masked_inv_disentangle,mae_unmasked_inv_disentangle,mae_masked_inv_no_env,mae_unmasked_inv_no_env,gain_full_vs_inv_disentangle,gain_full_vs_inv_no_env,gain_inv_disentangle_vs_inv_no_env,best_model_masked,best_margin_masked
10,155,12.32841548304404,62.11104840755463,13.39981177545363,61.80162815093994,13.123452032766034,21.684171075820924,1.07139629240959,0.7950365497219938,-0.2763597426875961,full,0.7950365497219938
11,157,13.64743213289103,59.67047691345215,13.409598891142826,61.91039025783539,13.4963655289571,21.869469585418702,-0.23783324174820386,-0.15106660393393057,0.0867666378142733,inv_disentangle,0.0867666378142733
12,159,14.288823853498736,58.584656586647036,13.75452387107993,62.05485433101654,14.383812382536114,22.23431957244873,-0.5342999824188048,0.0949885290373782,0.629288511456183,inv_disentangle,0.5342999824188048
13,161,11.379624799171589,56.57856349945068,11.559411860400845,61.229696288108826,11.366454734565309,21.155990533828735,0.17978706122925558,-0.013170064606280008,-0.1929571258355356,inv_no_env,0.013170064606280008
14,165,11.029979463057085,56.33720333576203,11.454511619336678,61.36657744407654,11.613430138790246,21.390066704750062,0.42453215627959295,0.583450675733161,0.15891851945356805,full,0.42453215627959295
15,164,11.69170392431864,56.700394129753114,15.437903380975492,63.09033675193787,11.117621084538902,21.064089674949646,3.7461994566568517,-0.574082839779738,-4.32028229643659,inv_no_env,0.574082839779738
16,171,12.537214357253404,58.17106023788452,15.765788663897599,63.88220613479614,13.365805687262998,22.137036204338074,3.2285743066441945,0.8285913300095942,-2.3999829766346004,full,0.8285913300095942
17,164,12.85663394230168,59.218260231018064,11.421949351706155,62.563685278892514,11.651128943373518,21.232635555267333,-1.4346845905955252,-1.2055049989281628,0.22917959166736246,inv_disentangle,0.22917959166736246
18,159,7.608529168854719,58.56458936214447,7.966036274748029,61.64461555957794,8.313536206131461,19.837094731330872,0.35750710589330925,0.7050070372767419,0.3474999313834326,full,0.35750710589330925
19,157,8.501931524580451,61.355764646530154,7.948036801283527,62.226915521621706,7.606560737464078,19.479362020492555,-0.5538947232969242,-0.8953707871163727,-0.3414760638194485,inv_no_env,0.3414760638194485
20,144,7.39264710744222,64.25666369438171,6.717201775974697,62.253789501190184,6.672906133863661,19.062204174995422,-0.6754453314675226,-0.7197409735785589,-0.044295642111036315,inv_no_env,0.044295642111036315
21,142,6.188974393925196,68.35155577182769,5.721992962796923,62.43602390289307,6.000456890589755,18.928085446357727,-0.4669814311282732,-0.18851750333544182,0.27846392779283136,inv_disentangle,0.27846392779283136
22,131,5.870146744123852,73.28908524990082,5.561564947812612,62.87118307113647,5.54327388210151,18.857412261962892,-0.3085817963112403,-0.3268728620223422,-0.01829106571110195,inv_no_env,0.01829106571110195
23,116,6.506199540763066,78.92831190109253,5.649504809544005,63.43292526245117,5.398721398978398,18.773662056922912,-0.8566947312190614,-1.107478141784668,-0.2507834105656066,inv_no_env,0.2507834105656066
24,107,5.6436889505832,84.05301513195037,6.408845598452559,64.46548766136169,5.40140027197722,18.873472995758057,0.7651566478693592,-0.2422886786059797,-1.007445326475339,inv_no_env,0.2422886786059797
25,102,5.525063514709473,89.65963860988617,5.6539734672097595,64.74116504192352,4.29184762169333,18.58815360546112,0.1289099525002868,-1.2332158930161423,-1.3621258455164291,inv_no_env,1.2332158930161423
26,97,5.347856855884041,92.64130320549012,5.1965089581676365,64.8615283536911,4.32886196411762,18.59079487800598,-0.15134789771640467,-1.0189948917664209,-0.8676469940500162,inv_no_env,0.8676469940500162
27,86,4.585617908211642,93.40044837474824,4.7093175400135125,64.86744686603546,5.354192312373671,18.77109829902649,0.1236996318018706,0.7685744041620293,0.6448747723601587,full,0.1236996318018706
28,92,5.122902268948763,91.6085919713974,4.919105799301811,65.22764061450958,4.467221032018247,18.487555170059203,-0.20379646964695208,-0.6556812369305156,-0.4518847672835635,inv_no_env,0.4518847672835635
29,98,12.868889010682398,91.07795797348022,9.496190051643216,66.7859025478363,9.849349995048678,19.756216764450073,-3.372698959039182,-3.01953901563372,0.353159943405462,inv_disentangle,0.353159943405462
30,109,9.222859583863425,89.16766762256623,7.754904160805799,66.83756893634796,8.695196904173685,19.59975064277649,-1.4679554230576262,-0.5276626796897403,0.9402927433678858,inv_disentangle,0.9402927433678858
31,126,13.522049041021438,88.78904423713684,13.450499943324498,68.42703855991364,12.246638328310043,20.925682687759398,-0.07154909769693951,-1.2754107127113947,-1.2038616150144552,inv_no_env,1.2038616150144552
32,130,10.099718900827261,83.38214926719665,13.525028727604793,67.02650197982788,16.325029710622935,22.51353015422821,3.425309826777532,6.225310809795674,2.8000009830181423,full,3.425309826777532
33,133,12.965264341884986,80.3674502658844,13.859557130282983,64.62097686290741,14.692632173237048,22.0881028175354,0.8942927883979976,1.727367831352062,0.8330750429540643,full,0.8942927883979976
34,136,14.696740627288818,74.3157527065277,14.802638727075914,63.553664021492004,14.472989699419808,22.028037309646606,0.10589809978709575,-0.22375092786901085,-0.3296490276561066,inv_no_env,0.22375092786901085
35,135,13.730436692414461,69.09552644252777,14.879007876360857,62.78516504764557,14.491215783578378,22.020224590301513,1.1485711839463963,0.7607790911639167,-0.3877920927824796,full,0.7607790911639167
36,134,13.308737085826362,65.09729142189026,12.489524086909508,61.68098931789398,12.084881127770267,21.157835016250612,-0.8192129989168535,-1.2238559580560953,-0.40464295913924175,inv_no_env,0.40464295913924175
37,130,13.702633417569674,60.93132836341858,14.604034203749437,62.166375813484194,14.721115772540752,21.96146496295929,0.9014007861797637,1.0184823549710789,0.11708156879131515,full,0.9014007861797637
38,124,14.19948459440662,58.208658418655396,15.965073708565004,62.608084321022034,14.26087325619113,21.592877764701843,1.7655891141583844,0.061388661784510745,-1.7042004523738736,full,0.061388661784510745
39,121,18.554121017456055,58.84736869335175,20.262411905714302,63.84637073040008,15.877477046871974,21.932189726829527,1.7082908882582473,-2.676643970584081,-4.384934858842328,inv_no_env,2.676643970584081
40,127,15.152479291900875,58.062477450370785,14.402722621527245,62.34742426395416,14.441530933530311,21.644320034980773,-0.74975667037363,-0.7109483583705636,0.03880831200306645,inv_disentangle,0.03880831200306645
41,127,16.786636788075363,60.36264870166779,17.76156210711622,63.34928832054138,11.979090157456286,20.7641218996048,0.9749253190408567,-4.807546630619077,-5.782471949659934,inv_no_env,4.807546630619077
42,122,17.131394480095533,61.07579139232635,19.315430281592196,63.773257961273195,13.772809747789728,21.23020288467407,2.1840358014966625,-3.358584732305806,-5.542620533802468,inv_no_env,3.358584732305806
43,127,10.42102083821935,59.25185919284821,12.524688960999017,61.944891662597655,10.170946226345272,20.192515306472778,2.1036681227796663,-0.2500746118740782,-2.3537427346537445,inv_no_env,0.2500746118740782
44,128,13.65424670279026,60.41645364761352,13.658334225416183,62.429335732460025,11.99885119497776,20.737427916526794,0.004087522625923157,-1.6553955078125,-1.6594830304384232,inv_no_env,1.6553955078125
45,129,14.08547933711562,61.600707783699036,15.937113207440044,63.40411301136017,14.318549962006799,21.56250258922577,1.8516338703244237,0.23307062489117847,-1.6185632454332453,full,0.23307062489117847
