sample_index,base_mae,full_mae,delta_base_minus_full,base_mae_masked,full_mae_masked,delta_masked_base_minus_full,metric_valid_count,env_delta_abs_mean,env_delta_signed_mean,label,label_masked
37,68.78509521484375,60.93132781982422,7.853767395019531,45.04886568509615,13.702632962740385,31.34623272235577,130,16.20391273498535,16.19617462158203,env_helps,env_helps
38,65.3542709350586,58.208656311035156,7.1456146240234375,41.43787802419355,14.199484548261088,27.23839347593246,124,11.346258163452148,11.346258163452148,env_helps,env_helps
39,65.9753189086914,58.84736251831055,7.127956390380859,46.81049037964876,18.55412052879649,28.256369850852273,121,10.786933898925781,10.786933898925781,env_helps,env_helps
40,64.49278259277344,58.06248092651367,6.430301666259766,38.74657818651575,15.152479276882381,23.594098909633367,127,9.250287055969238,9.250287055969238,env_helps,env_helps
41,68.24031066894531,60.362648010253906,7.877662658691406,47.13581908218504,16.786636472687007,30.34918260949803,127,12.073592185974121,12.073592185974121,env_helps,env_helps
42,68.55469512939453,61.0757942199707,7.478900909423828,47.484703189036885,17.131395683913933,30.353307505122952,122,12.1194486618042,12.1194486618042,env_helps,env_helps
43,66.58910369873047,59.251861572265625,7.337242126464844,38.015867218257874,10.421019546628937,27.594847671628937,127,11.160143852233887,11.160143852233887,env_helps,env_helps
44,67.42793273925781,60.41645050048828,7.011482238769531,38.74121856689453,13.654247283935547,25.086971282958984,128,10.119528770446777,10.119528770446777,env_helps,env_helps
45,69.42242431640625,61.600704193115234,7.821720123291016,42.20502134811046,14.085479499757753,28.11954184835271,129,11.697300910949707,11.697300910949707,env_helps,env_helps
46,69.69926452636719,62.248695373535156,7.450569152832031,41.53453621031746,14.025584387400794,27.508951822916668,126,11.166521072387695,11.166521072387695,env_helps,env_helps
47,70.50584411621094,62.365901947021484,8.139942169189453,44.548828125,11.945008812881097,32.6038193121189,123,13.487066268920898,13.487066268920898,env_helps,env_helps
48,70.01905059814453,62.57475662231445,7.444293975830078,43.04377205141129,13.176389632686492,29.867382418724794,124,12.99216079711914,12.99216079711914,env_helps,env_helps
49,67.44178771972656,60.919857025146484,6.521930694580078,34.65687561035156,10.851240158081055,23.805635452270508,128,10.639080047607422,10.639080047607422,env_helps,env_helps
50,65.74612426757812,60.43608474731445,5.310039520263672,30.529420946465162,11.49464391489498,19.034777031570183,122,7.934790134429932,7.934790134429932,env_helps,env_helps
51,66.14668273925781,61.28825378417969,4.858428955078125,29.5164921875,11.80390625,17.7125859375,125,7.627436637878418,7.627436637878418,env_helps,env_helps
52,70.9142074584961,64.42139434814453,6.4928131103515625,39.799988731971155,11.428016075721153,28.37197265625,130,13.199625015258789,13.199625015258789,env_helps,env_helps
53,74.76542663574219,67.63311767578125,7.1323089599609375,47.6536874412594,13.21318891711701,34.44049852414239,133,17.962251663208008,17.962251663208008,env_helps,env_helps
54,76.3344497680664,69.17291259765625,7.161537170410156,50.61403086487676,14.36477618150308,36.24925468337368,142,22.125804901123047,22.122610092163086,env_helps,env_helps
55,76.00792694091797,68.768310546875,7.239616394042969,50.13397257760067,15.934376966233222,34.19959561136745,149,23.557880401611328,23.557880401611328,env_helps,env_helps
56,75.48823547363281,65.9671859741211,9.521049499511719,49.904265168425326,15.207785866477273,34.69647930194805,154,21.552013397216797,21.552013397216797,env_helps,env_helps
57,74.46239471435547,62.57863235473633,11.88376235961914,50.793242817540325,13.891475554435484,36.901767263104844,155,20.00880241394043,20.00880241394043,env_helps,env_helps
58,72.99375915527344,60.177886962890625,12.815872192382812,48.35848373964608,13.28792415756777,35.07055958207831,166,18.42681312561035,18.42681312561035,env_helps,env_helps
59,71.02149200439453,58.7656135559082,12.255878448486328,46.908000388340646,14.935982330500732,31.972018057839914,171,17.374858856201172,17.374858856201172,env_helps,env_helps
60,69.52088165283203,56.52920913696289,12.99167251586914,47.53436725895579,13.02831435785061,34.50605290110518,164,17.74582290649414,17.74582290649414,env_helps,env_helps
61,68.5895004272461,57.06987380981445,11.51962661743164,46.4971709280303,16.069161339962122,30.42800958806818,165,17.089675903320312,17.089675903320312,env_helps,env_helps
62,67.66781616210938,57.522457122802734,10.14535903930664,42.447103810864824,17.354375794876454,25.09272801598837,172,15.616179466247559,15.600123405456543,env_helps,env_helps
