comparison,baseline_mae,gmm_hungarian_mae,gain_positive_means_gmm_better,oracle_gap_positive_means_oracle_better
gmm_hard_val_hungarian_vs_best_fixed,8.237624645233154,8.197439193725586,0.04018545150756836,
gmm_hard_val_hungarian_vs_random_uniform_top1,8.284641218185424,8.197439193725586,0.08720202445983816,
gmm_hard_val_hungarian_vs_random_prior_top1,8.280224490165711,8.197439193725586,0.08278529644012522,
gmm_hard_val_hungarian_vs_shuffled_gmm_route,8.27388060092926,8.197439193725586,0.07644140720367432,
gmm_hard_val_hungarian_vs_gmm_hard_identity,8.282968044281006,8.197439193725586,0.08552885055541992,
gmm_hard_val_hungarian_vs_uniform_all_experts,8.20477294921875,8.197439193725586,0.0073337554931640625,
gmm_hard_val_hungarian_vs_oracle_top1,8.086235523223877,8.197439193725586,-0.11120367050170898,0.11120367050170898
