confidence_group,lower_bound,upper_bound,sample_count,gmm_routing_mae,uniform_mae,best_fixed_mae,oracle_mae,routing_gain_vs_uniform,routing_gain_vs_best_fixed
low,-inf,1.0,52,8.246258735656738,8.267427444458008,8.324395179748535,8.169570922851562,0.02116922289133072,0.07813622057437897
medium,1.0,1.0,0,,,,,,
high,1.0,inf,494,8.033965110778809,8.037856101989746,8.073172569274902,7.917444705963135,0.0038907923735678196,0.03920817747712135
