feature_set,regressor,n_train,n_test,residual_mae,r2
z_inv_raw,ridge,382,164,4.300996780395508,0.5433457493782043
z_inv_raw,linear_regression,382,164,4.531961441040039,0.5051217675209045
h_inv,ridge,382,164,4.300996780395508,0.5433457493782043
h_inv,linear_regression,382,164,4.531961441040039,0.5051217675209045
e_env,ridge,382,164,4.810431480407715,0.5097976922988892
e_env,linear_regression,382,164,5.047787189483643,0.4684874713420868
h_inv_plus_e_env,ridge,382,164,4.309433460235596,0.5392752289772034
h_inv_plus_e_env,linear_regression,382,164,4.846500396728516,0.4323700964450836
