group_type,group,expert,num_group_samples,num_assigned_samples,assigned_final_mae,group_final_mae,expert_head_mae_on_group
workday_holiday,workday,0,354,354,7.952011585235596,7.952011585235596,8.298130989074707
workday_holiday,workday,1,354,0,,7.952011585235596,8.340240478515625
workday_holiday,workday,2,354,0,,7.952011585235596,8.28057861328125
workday_holiday,holiday,0,192,192,8.087626457214355,8.087626457214355,8.340113639831543
workday_holiday,holiday,1,192,0,,8.087626457214355,8.378129005432129
workday_holiday,holiday,2,192,0,,8.087626457214355,8.371928215026855
rush_hour,rush_hour,0,138,138,8.9397611618042,8.9397611618042,9.229727745056152
rush_hour,rush_hour,1,138,0,,8.9397611618042,9.343131065368652
rush_hour,rush_hour,2,138,0,,8.9397611618042,9.269286155700684
rush_hour,non_rush_hour,0,408,408,7.693853378295898,7.693853378295898,8.013023376464844
rush_hour,non_rush_hour,1,408,0,,7.693853378295898,8.029773712158203
rush_hour,non_rush_hour,2,408,0,,7.693853378295898,8.000661849975586
