route_mode,group,num_samples,mae
learned,overall,546,8.001489639282227
learned,workday,354,7.952011585235596
learned,holiday,192,8.087626457214355
learned,rush_hour,138,8.9397611618042
learned,non_rush_hour,408,7.693853378295898
uniform,overall,546,8.002111434936523
uniform,workday,354,7.952717304229736
uniform,holiday,192,8.088102340698242
uniform,rush_hour,138,8.941277503967285
uniform,non_rush_hour,408,7.6941819190979
shuffled,overall,546,8.00148868560791
shuffled,workday,354,7.952007293701172
shuffled,holiday,192,8.087629318237305
shuffled,rush_hour,138,8.9397611618042
shuffled,non_rush_hour,408,7.693852424621582
remove_0,overall,546,8.026813507080078
remove_0,workday,354,7.9793853759765625
remove_0,holiday,192,8.109381675720215
remove_0,rush_hour,138,8.97950553894043
remove_0,non_rush_hour,408,7.714449405670166
remove_1,overall,546,8.019196510314941
remove_1,workday,354,7.969147682189941
remove_1,holiday,192,8.10632610321045
remove_1,rush_hour,138,8.95787525177002
remove_1,non_rush_hour,408,7.711426258087158
remove_2,overall,546,8.013250350952148
remove_2,workday,354,7.964030742645264
remove_2,holiday,192,8.0989351272583
remove_2,rush_hour,138,8.94949722290039
remove_2,non_rush_hour,408,7.706276893615723
