scope,expert,soft_usage_mean,hard_count,hard_usage_ratio,route_entropy_mean,route_mean_distribution_entropy,effective_expert_number,max_expert_usage_ratio,min_expert_usage_ratio
expert,0,0.3669314957036203,546,1.0,1.094867468146846,1.0948681169947294,2.988788486992249,0.3669314957036203,0.2966980804235507
expert,1,0.3363704264382303,0,0.0,1.094867468146846,1.0948681169947294,2.988788486992249,0.3669314957036203,0.2966980804235507
expert,2,0.2966980804235507,0,0.0,1.094867468146846,1.0948681169947294,2.988788486992249,0.3669314957036203,0.2966980804235507
overall,all,1.0000000025654012,546,1.0,1.094867468146846,1.0948681169947294,2.988788486992249,0.3669314957036203,0.2966980804235507
