target,feature_set,classifier,n_train,n_test,accuracy,auc,f1
workday,z_inv_raw,logistic_regression,382,164,0.7560975609756098,0.8318152244632401,0.8076923076923077
workday,z_inv_raw,linear_svm,382,164,0.75,0.8414118412491868,0.8240343347639485
workday,h_inv,logistic_regression,382,164,0.7560975609756098,0.8318152244632401,0.8076923076923077
workday,h_inv,linear_svm,382,164,0.75,0.8414118412491868,0.8240343347639485
workday,e_env,logistic_regression,382,164,0.7073170731707317,0.7900130123617437,0.76
workday,e_env,linear_svm,382,164,0.7865853658536586,0.8204294079375406,0.8430493273542601
workday,h_inv_plus_e_env,logistic_regression,382,164,0.8414634146341463,0.907124268054652,0.8725490196078431
workday,h_inv_plus_e_env,linear_svm,382,164,0.8414634146341463,0.9074495770982434,0.8859649122807017
rush_hour,z_inv_raw,logistic_regression,382,164,0.9329268292682927,0.983343248066627,0.8674698795180723
rush_hour,h_inv,logistic_regression,382,164,0.9329268292682927,0.983343248066627,0.8674698795180723
rush_hour,e_env,logistic_regression,382,164,0.9085365853658537,0.9549871108467182,0.8275862068965517
rush_hour,h_inv_plus_e_env,logistic_regression,382,164,0.9573170731707317,0.9898869720404521,0.9156626506024096
