seed,num_samples,full_better_count,full_better_prop,inv_better_count,inv_better_prop,tie_count,tie_prop,mean_delta,median_delta,std_delta,q25_delta,q75_delta,full_mae,inv_only_mae,oracle_mae,relative_full_clear_count,relative_full_clear_prop,relative_inv_clear_count,relative_inv_clear_prop,relative_small_count,relative_small_prop,full_dir,inv_dir
2024,546,171,0.3131868131868132,375,0.6868131868131868,0,0.0,-3.6933945072439562,-5.984758377075195,7.488644446419938,-9.792073249816895,2.8342370986938477,49.41897112458617,45.72557661734221,43.803955570682064,163,0.29853479853479853,370,0.6776556776556777,13,0.023809523809523808,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/steve_env_value_full_seed2024,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/steve_env_value_inv_only_seed2024
2025,546,194,0.3553113553113553,352,0.6446886446886447,0,0.0,-0.2469214624537653,-0.1935749053955078,0.4577280664933615,-0.5174446105957031,0.10773563385009766,57.765844156453895,57.51892269400013,57.442564842028496,3,0.005494505494505495,115,0.21062271062271062,428,0.7838827838827839,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/steve_env_value_full_seed2025,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/steve_env_value_inv_only_seed2025
2026,546,1,0.0018315018315018315,545,0.9981684981684982,0,0.0,-1.688989737094977,-1.7002277374267578,0.6441920612724803,-2.104580879211426,-1.292790412902832,58.04416405674302,56.35517431964804,56.355128431494855,0,0.0,510,0.9340659340659341,36,0.06593406593406594,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/steve_env_value_full_seed2026,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/steve_env_value_inv_only_seed2026
