sample_index,full_mae_seed2024,inv_mae_seed2024,delta_seed2024,full_mae_seed2025,inv_mae_seed2025,delta_seed2025,full_mae_seed2026,inv_mae_seed2026,delta_seed2026,mean_full_mae,mean_inv_mae,mean_delta,full_win_count,inv_win_count,consistency_label
13,56.35398864746094,47.25172805786133,-9.10226058959961,57.650611877441406,57.285987854003906,-0.3646240234375,58.381126403808594,56.533817291259766,-1.8473091125488281,57.46190897623698,53.690511067708336,-3.771397908528646,0,3,InvOnly consistently better
14,55.70474624633789,47.319061279296875,-8.385684967041016,58.303993225097656,57.8211669921875,-0.48282623291015625,58.819549560546875,56.95042419433594,-1.8691253662109375,57.609429677327476,54.03021748860677,-3.579212188720703,0,3,InvOnly consistently better
15,52.04645538330078,44.6955680847168,-7.350887298583984,56.78880310058594,56.239463806152344,-0.5493392944335938,57.18717956542969,55.159934997558594,-2.0272445678710938,55.34081268310547,52.031655629475914,-3.309157053629557,0,3,InvOnly consistently better
16,50.12517547607422,43.2829475402832,-6.842227935791016,56.38090896606445,55.900047302246094,-0.4808616638183594,56.53461456298828,54.86594772338867,-1.6686668395996094,54.34689966837565,51.349647521972656,-2.9972521464029946,0,3,InvOnly consistently better
17,46.18512725830078,42.1792106628418,-4.005916595458984,54.904884338378906,54.15699768066406,-0.7478866577148438,54.694435119628906,52.7374382019043,-1.9569969177246094,51.928148905436196,49.69121551513672,-2.236933390299479,0,3,InvOnly consistently better
18,45.84413146972656,45.153751373291016,-0.6903800964355469,54.3387336730957,53.929588317871094,-0.4091453552246094,54.795692443847656,53.7204704284668,-1.0752220153808594,51.65951919555664,50.93460337320963,-0.7249158223470052,0,3,InvOnly consistently better
19,44.24005889892578,46.629051208496094,2.3889923095703125,53.24272537231445,52.93656921386719,-0.3061561584472656,54.32859802246094,53.337833404541016,-0.9907646179199219,50.60379409790039,50.96781794230143,0.3640238444010417,1,2,Mixed
20,41.65357971191406,47.09781265258789,5.444232940673828,51.718345642089844,51.562808990478516,-0.15553665161132812,53.16460037231445,52.201622009277344,-0.9629783630371094,48.84550857543945,50.28741455078125,1.4419059753417969,1,2,Mixed
21,38.422122955322266,46.059417724609375,7.637294769287109,50.92060089111328,50.782344818115234,-0.13825607299804688,52.63274383544922,51.67085266113281,-0.9618911743164062,47.325155893961586,49.504205067952476,2.1790491739908853,1,2,Mixed
22,35.40658187866211,43.74897003173828,8.342388153076172,50.367977142333984,50.302371978759766,-0.06560516357421875,52.43513488769531,51.41914367675781,-1.0159912109375,46.069897969563804,48.49016189575195,2.420263926188151,1,2,Mixed
23,33.609012603759766,41.23723602294922,7.628223419189453,50.3350715637207,50.1157341003418,-0.21933746337890625,52.64838790893555,51.626346588134766,-1.0220413208007812,45.53082402547201,47.65977223714193,2.128948211669922,1,2,Mixed
24,33.2257080078125,39.591548919677734,6.365840911865234,50.39542007446289,50.22042465209961,-0.17499542236328125,52.804229736328125,51.69496154785156,-1.1092681884765625,45.475119272867836,47.16897837320963,1.6938591003417969,1,2,Mixed
25,33.69527816772461,39.067935943603516,5.372657775878906,50.3896484375,50.16791534423828,-0.22173309326171875,52.808082580566406,51.61305618286133,-1.1950263977050781,45.631003061930336,46.94963582356771,1.3186327616373699,1,2,Mixed
26,33.58717727661133,39.042057037353516,5.4548797607421875,50.7130012512207,50.176124572753906,-0.5368766784667969,52.029701232910156,50.532501220703125,-1.4972000122070312,45.44329325358073,46.583560943603516,1.1402676900227864,1,2,Mixed
