cluster,rush_or_nonrush,count,ratio_within_cluster
0,non_rush,117,0.8666666666666667
0,rush,18,0.13333333333333333
1,non_rush,93,0.7153846153846154
1,rush,37,0.2846153846153846
2,non_rush,198,0.7046263345195729
2,rush,83,0.29537366548042704
