cluster,workday_or_holiday,count,ratio_within_cluster
0,holiday,44,0.32592592592592595
0,workday,91,0.674074074074074
1,holiday,33,0.25384615384615383
1,workday,97,0.7461538461538462
2,holiday,115,0.4092526690391459
2,workday,166,0.5907473309608541
