matrix,row,col,cosine
env_prototypes,0,0,1.0000000000000004
env_prototypes,0,1,-0.11442671034139842
env_prototypes,0,2,-0.12155768552540165
env_prototypes,1,0,-0.11442671034139842
env_prototypes,1,1,0.9999999999999999
env_prototypes,1,2,0.10993453850742203
env_prototypes,2,0,-0.12155768552540165
env_prototypes,2,1,0.10993453850742203
env_prototypes,2,2,1.0
expert_prediction_signature,0,0,0.9999999999999996
expert_prediction_signature,0,1,-0.4981008295199978
expert_prediction_signature,0,2,0.04011778645358928
expert_prediction_signature,1,0,-0.4981008295199978
expert_prediction_signature,1,1,1.0000000000000002
expert_prediction_signature,1,2,-0.8511663863690745
expert_prediction_signature,2,0,0.04011778645358928
expert_prediction_signature,2,1,-0.8511663863690745
expert_prediction_signature,2,2,0.9999999999999998
