load_bin,load_min,load_max,sample_count,mean_load,high_load_node_ratio,load_std,max_load_level,target_invariant_ratio,predicted_invariant_ratio,switch_precision,switch_recall,mean_delta_true,all_env_mae,learned_mae,net_gain
0,0.0885000005364418,0.1550000011920929,109,0.1151697188615799,0.0018119263695552945,0.12677109241485596,1.0,0.1834862381219864,0.0,0.0,0.0,0.2850782871246338,6.278977870941162,6.278977870941162,0.0
1,0.15600000321865082,0.1889999955892563,109,0.17602750658988953,0.012866972014307976,0.20213516056537628,1.0,0.26605504751205444,0.1376146823167801,0.6666666865348816,0.3448275923728943,0.20924760401248932,10.920589447021484,10.89841365814209,0.02217578887939453
2,0.18950000405311584,0.20900000631809235,109,0.19866971671581268,0.031238529831171036,0.2295306771993637,1.0,0.4128440320491791,0.01834862306714058,1.0,0.04444444552063942,0.17126572132110596,12.136005401611328,12.134469032287598,0.0015363693237304688
3,0.2094999998807907,0.24500000476837158,109,0.22760552167892456,0.05784403532743454,0.25751230120658875,1.0,0.3211009204387665,0.0,0.0,0.0,0.20143742859363556,13.053062438964844,13.053062438964844,0.0
4,0.24549999833106995,0.3310000002384186,110,0.2731363773345947,0.10186363756656647,0.28717589378356934,1.0,0.37272727489471436,0.0,0.0,0.0,0.14913541078567505,13.876938819885254,13.876938819885254,0.0
