route_mode,group,num_samples,mae
learned,overall,546,10.031044006347656
learned,workday,354,9.923799514770508
learned,holiday,192,10.21774673461914
learned,rush_hour,138,11.220890045166016
learned,non_rush_hour,408,9.640921592712402
uniform,overall,546,10.197869300842285
uniform,workday,354,10.100200653076172
uniform,holiday,192,10.367900848388672
uniform,rush_hour,138,11.362141609191895
uniform,non_rush_hour,408,9.816133499145508
shuffled,overall,546,10.032912254333496
shuffled,workday,354,9.925363540649414
shuffled,holiday,192,10.220145225524902
shuffled,rush_hour,138,11.228326797485352
shuffled,non_rush_hour,408,9.640965461730957
remove_0,overall,546,10.05207633972168
remove_0,workday,354,9.946385383605957
remove_0,holiday,192,10.236075401306152
remove_0,rush_hour,138,11.2484130859375
remove_0,non_rush_hour,408,9.659828186035156
remove_1,overall,546,10.047890663146973
remove_1,workday,354,9.936174392700195
remove_1,holiday,192,10.242377281188965
remove_1,rush_hour,138,11.257627487182617
remove_1,non_rush_hour,408,9.65124797821045
remove_2,overall,546,10.032950401306152
remove_2,workday,354,9.926219940185547
remove_2,holiday,192,10.218755722045898
remove_2,rush_hour,138,11.227462768554688
remove_2,non_rush_hour,408,9.6412992477417
