group_type,group,expert,num_group_samples,num_assigned_samples,assigned_final_mae,group_final_mae,expert_head_mae_on_group
workday_holiday,workday,0,4,0,,165.68504333496094,157.3734130859375
workday_holiday,workday,1,4,0,,165.68504333496094,131.70849609375
workday_holiday,workday,2,4,4,165.68504333496094,165.68504333496094,334.5242919921875
workday_holiday,holiday,0,0,0,,,
workday_holiday,holiday,1,0,0,,,
workday_holiday,holiday,2,0,0,,,
rush_hour,rush_hour,0,1,0,,148.04766845703125,149.59616088867188
rush_hour,rush_hour,1,1,0,,148.04766845703125,124.52416229248047
rush_hour,rush_hour,2,1,1,148.04766845703125,148.04766845703125,320.364501953125
rush_hour,non_rush_hour,0,3,0,,171.50401306152344,159.93930053710938
rush_hour,non_rush_hour,1,3,0,,171.50401306152344,134.07875061035156
rush_hour,non_rush_hour,2,3,3,171.50401306152344,171.50401306152344,339.1959228515625
