sample_index,time_label,workday,holiday,hour,hour_bin,rush_hour,expert_id,mae_inv,mae_final,mean_abs_delta_env,route_weight_0,route_weight_1,route_weight_2,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7
0,15,1,0,15,15,0,2,134.4721221923828,182.47482299804688,92.67164,0.3485675,0.109418735,0.5420138,3.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0
1,16,1,0,16,16,0,2,133.9053955078125,171.7815399169922,89.90566,0.34856752,0.10941872,0.54201376,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0
2,16,1,0,16,16,0,2,124.86858367919922,159.64443969726562,90.27801,0.34856766,0.1094187,0.5420137,3.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0
3,17,1,0,17,17,1,2,109.78032684326172,148.04766845703125,91.50349,0.34856766,0.109418675,0.54201365,3.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0
