case,status,best_stage2_epoch,router_input_dim,mse_weight,bce_weight,include_load_stats,include_pred_diff,test_avg_mae,all_environment_mae,all_invariant_mae,learned_routing_mae,oracle_mae,env_route_ratio,inv_route_ratio,target_inv_ratio,router_accuracy,balanced_accuracy,inv_switch_precision,inv_switch_recall,correct_beneficial_inv_switches,harmful_inv_switches,saved_loss,added_loss,net_gain,regret,oracle_gap_closed,test_delta_hat_min,test_delta_hat_mean,test_delta_hat_max,test_delta_hat_std,test_inv_auroc,test_inv_auprc,test_delta_pearson,test_delta_spearman,train_inv_route_ratio,train_router_accuracy,train_balanced_accuracy,train_inv_switch_precision,train_inv_switch_recall,train_net_gain,train_inv_auroc,train_inv_auprc,train_delta_pearson,train_delta_spearman,learned_better_than_all_env,net_gain_positive,over_selects_invariant,hash_identical,stored_future_c_seen,future_load_leakage
A_std_delta_mse,OK,39,192,1.0,0.0,False,False,11.30067491531372,11.257920265197754,11.461053848266602,11.254158020019531,11.183935165405273,0.9652014374732971,0.03479853644967079,0.311355322599411,0.6978021860122681,0.525985598564148,0.6315789222717285,0.07058823853731155,12,7,0.006084977649152279,0.002321947133168578,0.0037622451782226562,0.07022285461425781,0.05085138976573944,-0.3240344822406769,0.2591233551502228,0.8072507381439209,0.17246253788471222,0.6172090112640801,0.44241450929959913,0.2904085104132036,0.3160418770468583,0.032738097012043,0.811904788017273,0.551556408405304,0.7090908885002136,0.1150442510843277,0.0048542022705078125,0.7213764218575052,0.42708979611002146,0.5602808428934918,0.5277449508783493,True,True,False,True,False,False
B_std_regret_bce,OK,96,192,0.0,1.0,False,False,11.300603866577148,11.257920265197754,11.461053848266602,11.25400161743164,11.183935165405273,0.9523809552192688,0.0476190485060215,0.311355322599411,0.692307710647583,0.5252190232276917,0.5384615659713745,0.08235294371843338,14,12,0.007085096091032028,0.0031666336581110954,0.003918647766113281,0.07006645202636719,0.05296536535024643,-2.382636070251465,1.2388451099395752,9.740057945251465,1.4138293266296387,0.5750938673341677,0.3937582129687238,0.19113605542939227,0.22198790090040105,0.05595238134264946,0.8327381014823914,0.6053829789161682,0.8085106611251831,0.22418878972530365,0.012617111206054688,0.8126414708347357,0.5904728528915826,0.44745551743795875,0.5390049757702976,True,True,False,True,False,False
C_std_regret_bce_loadstats,OK,49,205,0.0,1.0,True,False,11.300397396087646,11.257920265197754,11.461053848266602,11.253836631774902,11.183935165405273,0.9743589758872986,0.025641025975346565,0.311355322599411,0.6996337175369263,0.5240926146507263,0.7142857313156128,0.05882352963089943,10,4,0.0057154810056090355,0.00163140834774822,0.0040836334228515625,0.0699014663696289,0.05519535019993782,-1.5426292419433594,1.0525901317596436,6.852226257324219,1.1241596937179565,0.5676001251564455,0.39855485434823446,0.21263173398913732,0.22670066293835642,0.03809523954987526,0.8232142925262451,0.5740696787834167,0.828125,0.15634217858314514,0.009249687194824219,0.7651468656992206,0.5257509660048848,0.41381482854454515,0.4906787199403554,True,True,False,True,False,False
D_std_regret_bce_loadstats_preddiff,OK,36,210,0.0,1.0,True,True,11.299996376037598,11.257920265197754,11.461053848266602,11.253186225891113,11.183935165405273,0.9688644409179688,0.03113553114235401,0.311355322599411,0.7014651894569397,0.5286452174186707,0.7058823704719543,0.07058823853731155,12,5,0.006690656766295433,0.0019569257274270058,0.004734039306640625,0.06925106048583984,0.0639863908290863,-0.7472308278083801,0.919686496257782,4.708396911621094,0.7578646540641785,0.5817271589486859,0.40514055218791245,0.21242339942243743,0.20376696580510542,0.03511904925107956,0.8178571462631226,0.5629994869232178,0.7796609997749329,0.13569322228431702,0.00730133056640625,0.7451402224817917,0.472957645412549,0.39472534355177324,0.4516618482599969,True,True,False,True,False,False
