group_type,group,expert,num_group_samples,num_assigned_samples,assigned_final_mae,group_final_mae,expert_head_mae_on_group
workday_holiday,workday,0,354,172,8.269083976745605,9.91726303100586,10.198323249816895
workday_holiday,workday,1,354,182,11.369596481323242,9.91726303100586,10.28899097442627
workday_holiday,workday,2,354,0,,9.91726303100586,20.318195343017578
workday_holiday,holiday,0,192,95,8.863551139831543,10.240761756896973,10.554670333862305
workday_holiday,holiday,1,192,97,11.520316123962402,10.240761756896973,10.616960525512695
workday_holiday,holiday,2,192,0,,10.240761756896973,20.564878463745117
rush_hour,rush_hour,0,138,73,10.773436546325684,11.285683631896973,11.794842720031738
rush_hour,rush_hour,1,138,65,11.842611312866211,11.285683631896973,11.820978164672852
rush_hour,rush_hour,2,138,0,,11.285683631896973,21.088397979736328
rush_hour,non_rush_hour,0,408,194,7.637520790100098,9.62531566619873,9.847501754760742
rush_hour,non_rush_hour,1,408,214,11.302388191223145,9.62531566619873,9.94558048248291
rush_hour,non_rush_hour,2,408,0,,9.62531566619873,20.1851749420166
