target,feature_set,classifier,n_train,n_test,accuracy,auc,f1
workday,z_inv_raw,logistic_regression,382,164,0.7560975609756098,0.8259596616785947,0.8076923076923077
workday,z_inv_raw,linear_svm,382,164,0.7439024390243902,0.8373454782042941,0.8189655172413793
workday,h_inv,logistic_regression,382,164,0.7560975609756098,0.8259596616785947,0.8076923076923077
workday,h_inv,linear_svm,382,164,0.7439024390243902,0.8373454782042941,0.8189655172413793
workday,e_env,logistic_regression,382,164,0.9817073170731707,0.9986987638256344,0.9856459330143541
workday,e_env,linear_svm,382,164,0.9939024390243902,0.9998373454782042,0.995260663507109
workday,h_inv_plus_e_env,logistic_regression,382,164,0.9878048780487805,1.0,0.9904761904761905
workday,h_inv_plus_e_env,linear_svm,382,164,0.9939024390243902,1.0,0.995260663507109
rush_hour,z_inv_raw,logistic_regression,382,164,0.9390243902439024,0.98294665873488,0.8809523809523809
rush_hour,h_inv,logistic_regression,382,164,0.9390243902439024,0.98294665873488,0.8809523809523809
rush_hour,e_env,logistic_regression,382,164,0.9817073170731707,0.9994051160023795,0.9647058823529412
rush_hour,h_inv_plus_e_env,logistic_regression,382,164,0.9817073170731707,0.9994051160023795,0.963855421686747
