route_mode,group,num_samples,mae
learned,overall,546,10.03528881072998
learned,workday,354,9.91726303100586
learned,holiday,192,10.240761756896973
learned,rush_hour,138,11.285683631896973
learned,non_rush_hour,408,9.62531566619873
uniform,overall,546,10.191676139831543
uniform,workday,354,10.08418083190918
uniform,holiday,192,10.378813743591309
uniform,rush_hour,138,11.375873565673828
uniform,non_rush_hour,408,9.803406715393066
shuffled,overall,546,10.036738395690918
shuffled,workday,354,9.917583465576172
shuffled,holiday,192,10.244174003601074
shuffled,rush_hour,138,11.293498992919922
shuffled,non_rush_hour,408,9.624677658081055
remove_0,overall,546,10.062231063842773
remove_0,workday,354,9.949877738952637
remove_0,holiday,192,10.257824897766113
remove_0,rush_hour,138,11.30107307434082
remove_0,non_rush_hour,408,9.656044006347656
remove_1,overall,546,10.055190086364746
remove_1,workday,354,9.933393478393555
remove_1,holiday,192,10.26722526550293
remove_1,rush_hour,138,11.318946838378906
remove_1,non_rush_hour,408,9.64083480834961
remove_2,overall,546,10.044151306152344
remove_2,workday,354,9.924391746520996
remove_2,holiday,192,10.252639770507812
remove_2,rush_hour,138,11.306352615356445
remove_2,non_rush_hour,408,9.630306243896484
