epoch,train_loss,train_mse,train_regret_bce,test_avg_mae,val_learned_routing_mae,test_mixed_learned_routing_mae,test_mixed_all_environment_mae,test_mixed_net_gain,test_mixed_inv_route_ratio
1,0.25056177150635495,0.13151585974154018,0.595229549067361,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
2,0.24565221440224422,0.12739103440017926,0.591305897349403,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
3,0.2427762255782173,0.12476088457873889,0.5900766963050479,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
4,0.24140686818531581,0.12394035376963161,0.5873325637408665,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
5,0.2401204824447632,0.12302404815951982,0.5854821579796927,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
6,0.23923776618071965,0.12179807257794198,0.5871984583990915,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
7,0.23777622665677753,0.12116494537109421,0.5830564067477272,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
8,0.2376276378120695,0.12060712948441506,0.5851025325911385,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
9,0.233233770160448,0.11717655931909879,0.5802860475721814,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
10,0.23639092715013596,0.11946109526214145,0.5846491512798128,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
11,0.23335117002328237,0.11746473191749482,0.5794321806657882,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
12,0.23095263498170035,0.1152061620638484,0.57873234692074,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
13,0.23321588947659447,0.11666052454993839,0.5827768175374894,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
14,0.23322949352718536,0.11755148651344435,0.5783900275116876,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
15,0.2307714757465181,0.11520563520136334,0.5778291954880669,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
16,0.22798783552078974,0.11303843838118371,0.5747469748769488,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
17,0.22822879666373844,0.11301423204796655,0.5760728100935618,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
18,0.22794571071863173,0.11251157626864455,0.5771706609498887,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
19,0.23081044852733612,0.11563226910574095,0.5758908924602327,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
20,0.22522678474585214,0.1108465747286876,0.5719010378633227,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
21,0.22839229773907435,0.11299952194094658,0.5769638711497898,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
22,0.22676063548950923,0.11201575299104055,0.5737244044031415,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
23,0.22843395315465473,0.11343301594966934,0.5750046761262985,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
24,0.22787048433508192,0.11281894558951969,0.575257682800293,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
25,0.2277014979294368,0.11275399068281763,0.5747375281084152,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
26,0.22579402739093418,0.11111977593529793,0.5733712477343423,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
27,0.2254078012137186,0.11074590636860757,0.5733094700745174,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
28,0.22723117981638227,0.11199657290819146,0.5761730202606746,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
29,0.22741041211854843,0.11288698187896183,0.5726171397027515,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
30,0.228540947891417,0.11305222337444623,0.5774436084997087,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
31,0.22661209134828478,0.11186595544928596,0.5737306705542973,11.303436279296875,12.362518310546875,11.257920265197754,11.257920265197754,0.0,0.0
