category_type,category,expert_0,expert_1,expert_2
workday_holiday,holiday,0.010416666666666666,0.9895833333333334,0.0
workday_holiday,workday,0.1384180790960452,0.8615819209039548,0.0
hour,0,0.0,1.0,0.0
hour,1,0.0,1.0,0.0
hour,2,0.0,1.0,0.0
hour,3,0.0,1.0,0.0
hour,4,0.0,1.0,0.0
hour,5,0.0,1.0,0.0
hour,6,0.0,1.0,0.0
hour,7,0.0,1.0,0.0
hour,8,0.0,1.0,0.0
hour,9,0.0,1.0,0.0
hour,10,0.0,1.0,0.0
hour,11,0.0,1.0,0.0
hour,12,0.045454545454545456,0.9545454545454546,0.0
hour,13,0.22727272727272727,0.7727272727272727,0.0
hour,14,0.6363636363636364,0.36363636363636365,0.0
hour,15,0.6521739130434783,0.34782608695652173,0.0
hour,16,0.0,1.0,0.0
hour,17,0.0,1.0,0.0
hour,18,0.0,1.0,0.0
hour,19,0.0,1.0,0.0
hour,20,0.0,1.0,0.0
hour,21,0.20833333333333334,0.7916666666666666,0.0
hour,22,0.4583333333333333,0.5416666666666666,0.0
hour,23,0.0,1.0,0.0
rush_hour,non_rush_hour,0.125,0.875,0.0
rush_hour,rush_hour,0.0,1.0,0.0
