group_type,group,expert,num_group_samples,num_assigned_samples,assigned_final_mae,group_final_mae,expert_head_mae_on_group
workday_holiday,workday,0,354,49,11.11371898651123,9.903175354003906,10.39020824432373
workday_holiday,workday,1,354,305,9.704608917236328,9.903175354003906,10.454899787902832
workday_holiday,workday,2,354,0,,9.903175354003906,17.08891487121582
workday_holiday,holiday,0,192,2,11.148172378540039,10.159645080566406,10.663301467895508
workday_holiday,holiday,1,192,190,10.147899627685547,10.159645080566406,10.697897911071777
workday_holiday,holiday,2,192,0,,10.159645080566406,16.587196350097656
rush_hour,rush_hour,0,138,0,,11.20718765258789,11.939170837402344
rush_hour,rush_hour,1,138,138,11.20718765258789,11.20718765258789,12.104398727416992
rush_hour,rush_hour,2,138,0,,11.20718765258789,19.040950775146484
rush_hour,non_rush_hour,0,408,51,11.115293502807617,9.599871635437012,10.01464557647705
rush_hour,non_rush_hour,1,408,357,9.384297370910645,9.599871635437012,10.031794548034668
rush_hour,non_rush_hour,2,408,0,,9.599871635437012,16.20582389831543
