feature_set,regressor,n_train,n_test,residual_mae,r2
z_inv_raw,ridge,382,164,4.34500789642334,0.5377259254455566
z_inv_raw,linear_regression,382,164,4.573038101196289,0.4988275170326233
h_inv,ridge,382,164,4.321197509765625,0.5409896373748779
h_inv,linear_regression,382,164,4.575342178344727,0.49893906712532043
e_env,ridge,382,164,5.714449882507324,0.4543052017688751
e_env,linear_regression,382,164,5.867877960205078,0.4256249666213989
h_inv_plus_e_env,ridge,382,164,4.454664707183838,0.5110273957252502
h_inv_plus_e_env,linear_regression,382,164,4.999357223510742,0.39947548508644104
