rank,node,mean_abs_correction
1,45,350.0867614746094
2,86,326.1946716308594
3,66,321.6593322753906
4,67,314.133056640625
5,65,293.3464660644531
6,87,290.4674987792969
7,44,255.6242218017578
8,108,245.61297607421875
9,46,214.3447265625
10,64,207.35479736328125
11,107,188.24461364746094
12,24,186.40853881835938
13,43,176.54066467285156
14,42,172.2448272705078
15,23,163.09188842773438
16,68,162.88099670410156
17,63,146.75514221191406
18,109,134.9117431640625
19,129,130.6264190673828
20,128,130.6161651611328
21,90,119.0167465209961
22,69,117.08010864257812
23,85,109.27693939208984
24,22,104.59251403808594
25,25,91.09931945800781
26,47,77.94832611083984
27,62,76.90730285644531
28,1,52.712100982666016
29,100,51.18510437011719
30,148,49.687721252441406
