cluster,sample_count,selected_correction_abs_mean,invariant_mae_minus_selected_expert_mae
0,103,31.559202194213867,28.89739418029785
1,307,52.32368469238281,84.01246643066406
2,136,68.34298706054688,113.01031494140625
