route_mode,group,num_samples,mae
learned,overall,546,7.920070171356201
learned,workday,354,7.888062953948975
learned,holiday,192,7.975791931152344
learned,rush_hour,138,8.788243293762207
learned,non_rush_hour,408,7.635417461395264
uniform,overall,546,7.915821552276611
uniform,workday,354,7.8841776847839355
uniform,holiday,192,7.970909118652344
uniform,rush_hour,138,8.784985542297363
uniform,non_rush_hour,408,7.630843162536621
shuffled,overall,546,7.920071601867676
shuffled,workday,354,7.888072967529297
shuffled,holiday,192,7.975776672363281
shuffled,rush_hour,138,8.788287162780762
shuffled,non_rush_hour,408,7.635404109954834
remove_0,overall,546,7.936577320098877
remove_0,workday,354,7.911543369293213
remove_0,holiday,192,7.98015832901001
remove_0,rush_hour,138,8.813169479370117
remove_0,non_rush_hour,408,7.649164199829102
remove_1,overall,546,7.921830177307129
remove_1,workday,354,7.888421058654785
remove_1,holiday,192,7.979992389678955
remove_1,rush_hour,138,8.794380187988281
remove_1,non_rush_hour,408,7.6357421875
remove_2,overall,546,7.9657416343688965
remove_2,workday,354,7.928997993469238
remove_2,holiday,192,8.029706954956055
remove_2,rush_hour,138,8.831523895263672
remove_2,non_rush_hour,408,7.681872844696045
