matrix,row,col,cosine
env_prototypes,0,0,0.9999999999999999
env_prototypes,0,1,0.5793812533753285
env_prototypes,0,2,0.6061774629480546
env_prototypes,1,0,0.5793812533753285
env_prototypes,1,1,0.9999999999999999
env_prototypes,1,2,0.5469689501729529
env_prototypes,2,0,0.6061774629480546
env_prototypes,2,1,0.5469689501729529
env_prototypes,2,2,1.0
expert_prediction_signature,0,0,1.0000000000000002
expert_prediction_signature,0,1,0.9988093645491147
expert_prediction_signature,0,2,0.9985236808005018
expert_prediction_signature,1,0,0.9988093645491147
expert_prediction_signature,1,1,0.9999999999999999
expert_prediction_signature,1,2,0.9982438500609971
expert_prediction_signature,2,0,0.9985236808005018
expert_prediction_signature,2,1,0.9982438500609971
expert_prediction_signature,2,2,1.0000000000000004
