sample_index,sample_mae,sample_mse
0,63.33122253417969,14773.548828125
1,62.576847076416016,14777.9677734375
2,62.559207916259766,14855.5751953125
3,62.38221740722656,14877.7978515625
4,63.18929672241211,14893.1708984375
5,62.43077087402344,14660.2763671875
6,61.93736267089844,14362.6650390625
7,61.9191780090332,14161.5087890625
8,62.28709030151367,14094.3720703125
9,62.10639572143555,14138.490234375
10,61.8016242980957,14041.3427734375
11,61.9103889465332,14031.3701171875
12,62.05485916137695,13993.849609375
13,61.229698181152344,13992.384765625
14,61.3665771484375,14038.5673828125
15,63.090335845947266,14310.9375
16,63.882205963134766,14779.2529296875
17,62.563682556152344,14828.1474609375
18,61.64461898803711,14904.771484375
19,62.22691345214844,15168.5478515625
20,62.253787994384766,15464.9697265625
21,62.4360237121582,15746.89453125
22,62.87118148803711,16018.9677734375
23,63.43292999267578,16345.3203125
24,64.46548461914062,16787.7890625
25,64.74116516113281,17058.703125
26,64.86152648925781,17242.77734375
27,64.86744689941406,17350.927734375
28,65.2276382446289,17540.19921875
29,66.78590393066406,17784.734375
30,66.83757019042969,17895.412109375
31,68.42704010009766,17584.462890625
32,67.02650451660156,16444.859375
33,64.62097930908203,15124.552734375
34,63.55366134643555,14503.666015625
35,62.7851676940918,14144.91796875
36,61.68098449707031,13941.11328125
37,62.166378021240234,13955.8388671875
38,62.60808563232422,14088.4697265625
39,63.84636688232422,14251.1591796875
40,62.3474235534668,14224.5947265625
41,63.34928894042969,14323.2548828125
42,63.77326202392578,14446.0751953125
43,61.94489288330078,14378.099609375
44,62.42933654785156,14484.64453125
45,63.404117584228516,14710.1279296875
46,62.90886306762695,14662.12890625
47,63.049198150634766,14703.955078125
48,63.19232940673828,14702.4326171875
49,62.677486419677734,14727.67578125
50,62.360958099365234,14819.5126953125
51,62.29606628417969,14867.8701171875
52,63.784671783447266,14913.134765625
53,63.4625129699707,14687.375
54,62.81230545043945,14333.76953125
55,62.366737365722656,14192.3701171875
56,62.68141555786133,14113.232421875
57,61.333683013916016,13806.048828125
58,61.516536712646484,13813.087890625
59,61.708045959472656,13863.900390625
60,61.71147537231445,13870.990234375
61,64.1413345336914,14255.7578125
62,65.20442199707031,14557.2216796875
63,63.353694915771484,14268.701171875
64,62.88309097290039,14435.837890625
65,61.94944763183594,14490.3935546875
66,62.7937126159668,14830.330078125
67,62.29591751098633,15024.8798828125
68,62.483055114746094,15340.72265625
69,62.6464958190918,15588.2734375
70,63.36929702758789,15846.8251953125
71,63.89238739013672,16119.1123046875
72,64.26651000976562,16464.10546875
73,64.42102813720703,16648.578125
74,64.48072052001953,16806.806640625
75,64.23804473876953,16882.14453125
76,64.77703857421875,16989.572265625
77,66.1876449584961,16992.04296875
78,66.32551574707031,17016.669921875
79,67.7579574584961,16844.294921875
80,66.17425537109375,16113.8720703125
81,65.28099822998047,15073.6533203125
82,63.09101867675781,14373.7724609375
83,62.787967681884766,13998.3876953125
84,62.31511306762695,13878.9951171875
85,62.654197692871094,13949.8154296875
86,62.6568717956543,14093.298828125
87,63.979736328125,14280.1787109375
88,62.12801742553711,14204.7900390625
89,62.873687744140625,14299.0439453125
90,62.16355514526367,14241.4248046875
91,61.84345245361328,14304.79296875
92,61.66579055786133,14391.1796875
93,62.01250457763672,14565.5
94,62.329345703125,14627.0361328125
95,62.66340637207031,14627.072265625
96,62.730464935302734,14646.6708984375
97,61.75556945800781,14630.85546875
98,62.299495697021484,14759.7587890625
99,61.74321365356445,14802.2763671875
100,64.7060775756836,14949.04296875
101,63.364070892333984,14594.83203125
102,62.756797790527344,14343.150390625
103,63.32461929321289,14117.01953125
104,63.70619201660156,14056.2802734375
105,63.77521514892578,14265.3271484375
106,62.352745056152344,13798.23046875
107,61.7307014465332,13651.6220703125
108,60.69935989379883,13599.5
109,61.326393127441406,13730.3896484375
110,61.46696472167969,13772.91796875
111,62.362850189208984,13948.3779296875
112,62.318111419677734,14004.3486328125
113,62.701019287109375,14196.380859375
114,62.84722137451172,14360.5390625
115,63.829288482666016,14706.0078125
116,62.91143035888672,14799.541015625
117,63.37062454223633,15185.8076171875
118,64.166259765625,15445.869140625
119,63.19735336303711,15527.0009765625
120,63.91501998901367,15742.0
121,64.1899185180664,15911.66015625
122,65.22149658203125,16083.8603515625
123,63.26695251464844,15993.4052734375
124,62.8635139465332,16035.806640625
125,63.227943420410156,15936.27734375
126,63.41029357910156,15912.8154296875
127,63.949981689453125,15938.4853515625
128,65.09922790527344,16269.3447265625
129,65.28083038330078,16350.90234375
130,66.32978057861328,16419.15234375
131,65.88949584960938,16449.689453125
132,65.11815643310547,16312.1748046875
133,65.2413330078125,15950.982421875
134,64.2737808227539,15557.58984375
135,64.06082916259766,15483.2685546875
136,64.59246826171875,15390.71875
137,63.8422966003418,15000.5458984375
138,64.0101547241211,14760.1298828125
139,62.883331298828125,14521.76953125
140,62.98731994628906,14445.0927734375
141,65.61335754394531,14883.3701171875
142,63.055625915527344,14292.2001953125
143,62.92100524902344,14328.0029296875
144,65.00023651123047,14614.802734375
145,64.93574523925781,14556.0546875
146,64.42256927490234,14601.5029296875
147,64.24636840820312,14578.7333984375
148,63.434871673583984,14596.541015625
149,62.564762115478516,14521.2783203125
150,62.882869720458984,14445.0478515625
151,62.06373977661133,14276.4775390625
152,63.85285949707031,14448.2900390625
153,65.70728302001953,15018.298828125
154,63.79012680053711,14352.3935546875
155,61.891502380371094,14222.7626953125
156,62.81911087036133,14382.923828125
157,62.20429229736328,14317.55859375
158,63.5090217590332,14379.0224609375
159,63.57057571411133,14433.3623046875
160,64.75138854980469,14686.2822265625
161,65.50531768798828,14884.125
162,65.23814392089844,15000.6025390625
163,64.11347961425781,14951.2421875
164,64.40697479248047,15276.3720703125
165,64.0148696899414,15236.615234375
166,63.544158935546875,15211.7451171875
