route_mode,group,num_samples,mae
learned,overall,546,10.061664581298828
learned,workday,354,9.964999198913574
learned,holiday,192,10.229948997497559
learned,rush_hour,138,11.27328872680664
learned,non_rush_hour,408,9.664402961730957
uniform,overall,546,10.247079849243164
uniform,workday,354,10.168930053710938
uniform,holiday,192,10.383130073547363
uniform,rush_hour,138,11.458824157714844
uniform,non_rush_hour,408,9.849778175354004
shuffled,overall,546,10.064802169799805
shuffled,workday,354,9.968518257141113
shuffled,holiday,192,10.232423782348633
shuffled,rush_hour,138,11.282455444335938
shuffled,non_rush_hour,408,9.665563583374023
remove_0,overall,546,10.094234466552734
remove_0,workday,354,9.998937606811523
remove_0,holiday,192,10.260139465332031
remove_0,rush_hour,138,11.298542976379395
remove_0,non_rush_hour,408,9.699373245239258
remove_1,overall,546,10.070718765258789
remove_1,workday,354,9.97419261932373
remove_1,holiday,192,10.238758087158203
remove_1,rush_hour,138,11.288026809692383
remove_1,non_rush_hour,408,9.671592712402344
remove_2,overall,546,10.11412239074707
remove_2,workday,354,10.02608871459961
remove_2,holiday,192,10.267379760742188
remove_2,rush_hour,138,11.322893142700195
remove_2,non_rush_hour,408,9.717795372009277
