group_type,group,expert,num_group_samples,num_assigned_samples,assigned_final_mae,group_final_mae,expert_head_mae_on_group
workday_holiday,workday,0,354,5,15.426916122436523,9.964999198913574,10.877367973327637
workday_holiday,workday,1,354,0,,9.964999198913574,22.57114028930664
workday_holiday,workday,2,354,349,9.8929443359375,9.964999198913574,10.261786460876465
workday_holiday,holiday,0,192,0,,10.229948997497559,10.999006271362305
workday_holiday,holiday,1,192,0,,10.229948997497559,22.17389678955078
workday_holiday,holiday,2,192,192,10.229948997497559,10.229948997497559,10.391359329223633
rush_hour,rush_hour,0,138,3,16.179046630859375,11.27328872680664,12.30707836151123
rush_hour,rush_hour,1,138,0,,11.27328872680664,25.110380172729492
rush_hour,rush_hour,2,138,135,11.16897964477539,11.27328872680664,11.556828498840332
rush_hour,non_rush_hour,0,408,2,14.191274642944336,9.664402961730957,10.467530250549316
rush_hour,non_rush_hour,1,408,0,,9.664402961730957,21.54613494873047
rush_hour,non_rush_hour,2,408,406,9.645514488220215,9.664402961730957,9.899948120117188
