epoch,train_loss,val_loss,val_mae,val_mape,val_rmse
1,0.08000297578057805,0.059655302905762084,11.286878666712077,0.08894512525465757,16.928598645638058
2,0.07018874073357194,0.05966962204829125,11.284246450733916,0.09084371641678281,16.960481895755517
3,0.06738834556486416,0.05801856512098585,10.996362017613572,0.09504619640689513,16.47496156243261
4,0.08872904740683676,0.3682146416433852,67.92778837640559,0.9692053809394398,91.58132473077316
5,0.5131228155841863,0.6176950608194471,112.6407431191499,1.5826603880349448,146.24610135625002
6,0.6347778368142653,0.6487028215044891,120.07864911420734,1.5110189533419236,150.52884441797354
7,0.632973226682235,0.5877057757636089,107.32794296747626,1.7201874099608299,138.1087036595703
8,0.6372539686894454,0.6411620560470781,116.23087431491871,1.8483415585296754,147.89091473183603
9,0.7231415949332988,0.6893184349980545,125.19397241482034,2.1146532367345814,158.63942165089816
10,0.715480877811305,0.6400865415942449,117.32823892387812,1.791409924705671,149.97826997081071
11,0.7390559388559012,0.6870086672828587,125.4894339274503,1.817071355724504,159.55640514653916
12,0.7920683368208272,0.7109433146615067,129.99442953411383,1.9028402735922103,164.70783438842767
13,0.8137253447815854,0.7128227918437756,130.6843132764471,1.8371670330323377,165.2800440953938
14,0.8201533749178126,0.7256164532767826,132.18152414430745,1.9519268243261387,167.19602489793493
15,0.8233799794506573,0.7554812392783994,137.492377683325,2.147600611812855,172.44786053261728
16,0.8468091601032033,0.769021491150531,139.34878282217844,2.150545455247998,174.39368288892686
17,0.854175971598476,0.8087260001144182,146.32111936425872,2.420039260580519,181.53636817218143
18,0.8708277950030091,0.7949046572442934,144.43422024246345,2.3383070943583593,180.13097531769165
19,0.8712667419167693,0.8035738416825086,145.08158485683782,2.425922276902626,180.10688335442063
20,0.8743457315547384,0.8194978964034683,147.2882452276943,2.5000648147546327,182.2216848002555
21,0.8717394670134458,0.819003053200988,147.7760542272996,2.477324540187536,183.20270309898032
22,0.8645005780515492,0.791054234310373,143.34755569623076,2.2899036635913665,178.13088393613938
23,0.8636490672286145,0.7878769920036178,142.9725200318354,2.250014027967306,177.8269056890397
