sample_index,sample_mae,sample_mse
0,52.42066955566406,5756.76318359375
1,53.33974075317383,5854.7724609375
2,56.851287841796875,6398.68310546875
3,59.876461029052734,6950.00732421875
4,57.21284103393555,6547.39892578125
5,53.320465087890625,5810.14111328125
6,51.91676712036133,5855.65771484375
7,54.717716217041016,6280.59765625
8,57.586307525634766,7008.3701171875
9,59.1976432800293,7181.08447265625
10,57.769744873046875,7028.89794921875
11,57.243106842041016,6923.017578125
12,57.38471984863281,6964.56982421875
13,57.285987854003906,6853.85693359375
14,57.8211669921875,6961.52978515625
15,56.239463806152344,6501.404296875
16,55.900047302246094,6394.6787109375
17,54.15699768066406,6041.81982421875
18,53.929588317871094,6157.982421875
19,52.93656921386719,6118.4091796875
20,51.562808990478516,5974.43017578125
21,50.782344818115234,5925.3125
22,50.302371978759766,5885.126953125
23,50.1157341003418,5873.29833984375
24,50.22042465209961,5877.62939453125
25,50.16791534423828,5875.75830078125
26,50.176124572753906,5879.2861328125
27,51.019317626953125,5920.53857421875
28,51.904518127441406,5977.6298828125
29,51.54204177856445,5933.7470703125
30,52.811492919921875,6168.26611328125
31,58.333595275878906,7383.962890625
32,61.83259582519531,9161.44140625
33,66.10348510742188,10598.6904296875
34,65.47514343261719,9744.2578125
35,65.26534271240234,9681.9375
36,62.49753952026367,8666.1181640625
37,58.82158279418945,7258.38134765625
38,53.9673957824707,5998.52001953125
39,52.71672821044922,5836.95703125
40,51.176177978515625,5641.85986328125
41,51.41984939575195,5695.5361328125
42,52.09065246582031,5830.90625
43,50.38553237915039,5578.60888671875
44,50.153663635253906,5530.1005859375
45,50.86159133911133,5639.95458984375
46,50.53144836425781,5579.82763671875
47,50.33580017089844,5634.10498046875
48,51.244415283203125,5715.2373046875
49,50.875762939453125,5595.052734375
50,54.0051383972168,5996.2236328125
51,56.263118743896484,6461.06103515625
52,53.37468719482422,5941.1005859375
53,51.345603942871094,5593.35498046875
54,54.61179733276367,5952.1025390625
55,57.766048431396484,6545.92041015625
56,59.83224105834961,7301.994140625
57,60.385921478271484,7313.82177734375
58,61.75821304321289,7708.46630859375
59,61.61601638793945,7802.39208984375
60,61.7035026550293,7438.63134765625
61,61.63192367553711,7421.44140625
62,60.63664245605469,7520.36376953125
63,59.59843826293945,7237.712890625
64,59.00080490112305,6969.0966796875
65,56.040992736816406,6411.10546875
66,54.50053405761719,6151.001953125
67,52.67478942871094,5992.92236328125
68,51.666648864746094,5952.68896484375
69,50.443885803222656,5882.556640625
70,50.47954177856445,5909.759765625
71,49.990596771240234,5902.3701171875
72,50.11772537231445,5909.791015625
73,50.055233001708984,5866.16357421875
74,49.9142951965332,5853.03515625
75,50.59395980834961,5901.0087890625
76,52.33096694946289,6031.826171875
77,52.555728912353516,6089.84619140625
78,54.35056686401367,6375.17626953125
79,56.908931732177734,6978.55517578125
80,60.966163635253906,8359.53515625
81,63.337913513183594,9686.53125
82,62.989627838134766,9207.3271484375
83,62.613868713378906,9543.54296875
84,61.08058547973633,8312.7060546875
85,58.26225662231445,7317.67041015625
86,53.89899444580078,6191.43994140625
87,52.4013786315918,5880.97314453125
88,50.80013656616211,5583.62646484375
89,50.51872634887695,5573.6181640625
90,50.305477142333984,5599.2158203125
91,50.289737701416016,5565.32080078125
92,49.22758483886719,5436.96923828125
93,48.59657287597656,5412.43505859375
94,48.82502746582031,5440.35888671875
95,49.795372009277344,5531.9326171875
96,50.126346588134766,5594.3837890625
97,51.26065444946289,5637.88818359375
98,54.54872512817383,6138.09423828125
99,56.81133270263672,6480.5810546875
100,52.342655181884766,5800.0283203125
101,51.0942268371582,5602.79638671875
102,54.4032096862793,6009.537109375
103,59.79232406616211,6834.39208984375
104,62.962623596191406,7757.85693359375
105,64.13355255126953,8580.5458984375
106,62.13148498535156,7989.75732421875
107,59.984947204589844,7551.126953125
108,58.84416961669922,7125.2392578125
109,57.839324951171875,6920.42041015625
110,58.897178649902344,7028.6513671875
111,59.23788070678711,7130.99072265625
112,59.547245025634766,7246.2099609375
113,61.21786117553711,8041.046875
114,62.683712005615234,8497.4462890625
115,64.16500854492188,8948.931640625
116,65.22207641601562,9419.861328125
117,66.04647064208984,9792.46875
